time,feet,centimeters,tide
2014-01-01 03:28:00 UTC,-3.4,-104,L
2014-01-01 09:50:00 UTC,16.3,497,H
2014-01-01 15:35:00 UTC,1.6,49,L
2014-01-01 21:37:00 UTC,19.2,585,H
2014-01-02 04:14:00 UTC,-4.1,-125,L
2014-01-02 10:36:00 UTC,16.9,515,H
2014-01-02 16:24:00 UTC,1.1,34,L
2014-01-02 22:25:00 UTC,19.3,588,H
2014-01-03 04:59:00 UTC,-4.1,-125,L
2014-01-03 11:21:00 UTC,17.3,527,H
2014-01-03 17:12:00 UTC,0.8,24,L
2014-01-03 23:12:00 UTC,18.9,576,H
2014-01-04 05:43:00 UTC,-3.6,-110,L
2014-01-04 12:05:00 UTC,17.3,527,H
2014-01-04 18:00:00 UTC,0.9,27,L
2014-01-05 00:00:00 UTC,18.0,549,H
2014-01-05 06:28:00 UTC,-2.5,-76,L
2014-01-05 12:50:00 UTC,17.1,521,H
2014-01-05 18:51:00 UTC,1.3,40,L
2014-01-06 00:50:00 UTC,16.7,509,H
2014-01-06 07:13:00 UTC,-1.1,-34,L
2014-01-06 13:36:00 UTC,16.6,506,H
2014-01-06 19:45:00 UTC,1.8,55,L
2014-01-07 01:42:00 UTC,15.1,460,H
2014-01-07 08:01:00 UTC,0.4,12,L
2014-01-07 14:26:00 UTC,16.0,488,H
2014-01-07 20:46:00 UTC,2.3,70,L
2014-01-08 02:42:00 UTC,13.5,411,H
2014-01-08 08:54:00 UTC,2.0,61,L
2014-01-08 15:21:00 UTC,15.4,469,H
2014-01-08 21:53:00 UTC,2.7,82,L
2014-01-09 03:55:00 UTC,12.2,372,H
2014-01-09 09:54:00 UTC,3.4,104,L
2014-01-09 16:23:00 UTC,14.9,454,H
2014-01-09 23:05:00 UTC,2.6,79,L
2014-01-10 05:18:00 UTC,11.6,354,H
2014-01-10 11:00:00 UTC,4.3,131,L
2014-01-10 17:30:00 UTC,14.8,451,H
2014-01-11 00:14:00 UTC,2.2,67,L
2014-01-11 06:38:00 UTC,11.8,360,H
2014-01-11 12:08:00 UTC,4.7,143,L
2014-01-11 18:34:00 UTC,15.0,457,H
2014-01-12 01:15:00 UTC,1.4,43,L
2014-01-12 07:43:00 UTC,12.4,378,H
2014-01-12 13:12:00 UTC,4.6,140,L
2014-01-12 19:29:00 UTC,15.4,469,H
2014-01-13 02:07:00 UTC,0.6,18,L
2014-01-13 08:33:00 UTC,13.2,402,H
2014-01-13 14:06:00 UTC,4.2,128,L
2014-01-13 20:16:00 UTC,15.9,485,H
2014-01-14 02:51:00 UTC,-0.1,-3,L
2014-01-14 09:15:00 UTC,13.8,421,H
2014-01-14 14:52:00 UTC,3.7,113,L
2014-01-14 20:57:00 UTC,16.3,497,H
2014-01-15 03:30:00 UTC,-0.7,-21,L
2014-01-15 09:52:00 UTC,14.4,439,H
2014-01-15 15:32:00 UTC,3.3,101,L
2014-01-15 21:33:00 UTC,16.5,503,H
2014-01-16 04:05:00 UTC,-1.0,-30,L
2014-01-16 10:26:00 UTC,14.8,451,H
2014-01-16 16:09:00 UTC,3.0,91,L
2014-01-16 22:07:00 UTC,16.6,506,H
2014-01-17 04:38:00 UTC,-1.1,-34,L
2014-01-17 10:57:00 UTC,15.1,460,H
2014-01-17 16:43:00 UTC,2.7,82,L
2014-01-17 22:39:00 UTC,16.5,503,H
2014-01-18 05:08:00 UTC,-1.0,-30,L
2014-01-18 11:26:00 UTC,15.2,463,H
2014-01-18 17:16:00 UTC,2.6,79,L
2014-01-18 23:10:00 UTC,16.2,494,H
2014-01-19 05:38:00 UTC,-0.7,-21,L
2014-01-19 11:54:00 UTC,15.3,466,H
2014-01-19 17:50:00 UTC,2.6,79,L
2014-01-19 23:41:00 UTC,15.8,482,H
2014-01-20 06:08:00 UTC,-0.2,-6,L
2014-01-20 12:21:00 UTC,15.4,469,H
2014-01-20 18:25:00 UTC,2.6,79,L
2014-01-21 00:15:00 UTC,15.3,466,H
2014-01-21 06:40:00 UTC,0.5,15,L
