time,feet,centimeters,tide
2013-12-30 23:45:00 UTC,1.2,37,L
2013-12-31 03:36:00 UTC,1.4,43,H
2013-12-31 11:58:00 UTC,-1.1,-34,L
2013-12-31 20:13:00 UTC,1.5,46,H
2014-01-01 00:32:00 UTC,1.1,34,L
2014-01-01 04:41:00 UTC,1.4,43,H
2014-01-01 12:47:00 UTC,-1.1,-34,L
2014-01-01 20:52:00 UTC,1.4,43,H
2014-01-02 01:16:00 UTC,1.1,34,L
2014-01-02 05:40:00 UTC,1.4,43,H
2014-01-02 13:36:00 UTC,-1.1,-34,L
2014-01-02 21:34:00 UTC,1.4,43,H
2014-01-03 02:07:00 UTC,1.0,30,L
2014-01-03 06:43:00 UTC,1.3,40,H
2014-01-03 14:27:00 UTC,-0.9,-27,L
2014-01-03 22:14:00 UTC,1.3,40,H
2014-01-04 03:08:00 UTC,0.8,24,L
2014-01-04 07:55:00 UTC,1.1,34,H
2014-01-04 15:18:00 UTC,-0.6,-18,L
2014-01-04 22:53:00 UTC,1.2,37,H
2014-01-05 04:21:00 UTC,0.6,18,L
2014-01-05 09:20:00 UTC,1.0,30,H
2014-01-05 16:11:00 UTC,-0.3,-9,L
2014-01-05 23:30:00 UTC,1.1,34,H
2014-01-06 05:43:00 UTC,0.4,12,L
2014-01-06 11:04:00 UTC,0.8,24,H
2014-01-06 17:09:00 UTC,0.0,0,L
2014-01-07 00:06:00 UTC,1.0,30,H
2014-01-07 07:02:00 UTC,0.1,3,L
2014-01-07 13:02:00 UTC,0.7,21,H
2014-01-07 18:19:00 UTC,0.4,12,L
2014-01-08 00:39:00 UTC,1.0,30,H
2014-01-08 08:08:00 UTC,-0.2,-6,L
2014-01-08 15:07:00 UTC,0.8,24,H
2014-01-08 20:01:00 UTC,0.6,18,L
2014-01-09 01:12:00 UTC,1.0,30,H
2014-01-09 09:03:00 UTC,-0.4,-12,L
2014-01-09 16:54:00 UTC,1.0,30,H
2014-01-09 21:51:00 UTC,0.8,24,L
2014-01-10 01:44:00 UTC,1.0,30,H
2014-01-10 09:51:00 UTC,-0.6,-18,L
2014-01-10 18:07:00 UTC,1.1,34,H
2014-01-10 23:12:00 UTC,0.9,27,L
2014-01-11 02:16:00 UTC,1.0,30,H
2014-01-11 10:34:00 UTC,-0.7,-21,L
2014-01-11 18:57:00 UTC,1.2,37,H
2014-01-12 00:08:00 UTC,0.9,27,L
2014-01-12 02:49:00 UTC,1.0,30,H
2014-01-12 11:11:00 UTC,-0.7,-21,L
2014-01-12 19:34:00 UTC,1.2,37,H
2014-01-13 00:41:00 UTC,1.0,30,L
2014-01-13 03:24:00 UTC,1.0,30,H
2014-01-13 11:45:00 UTC,-0.8,-24,L
2014-01-13 20:02:00 UTC,1.1,34,H
2014-01-14 00:53:00 UTC,1.0,30,L
2014-01-14 04:01:00 UTC,1.0,30,H
2014-01-14 12:16:00 UTC,-0.8,-24,L
2014-01-14 20:24:00 UTC,1.1,34,H
2014-01-15 00:49:00 UTC,0.9,27,L
2014-01-15 04:39:00 UTC,1.0,30,H
2014-01-15 12:44:00 UTC,-0.7,-21,L
2014-01-15 20:45:00 UTC,1.1,34,H
2014-01-16 00:56:00 UTC,0.9,27,L
2014-01-16 05:18:00 UTC,1.0,30,H
2014-01-16 13:13:00 UTC,-0.7,-21,L
2014-01-16 21:08:00 UTC,1.0,30,H
2014-01-17 01:23:00 UTC,0.8,24,L
2014-01-17 05:57:00 UTC,1.0,30,H
2014-01-17 13:41:00 UTC,-0.6,-18,L
2014-01-17 21:33:00 UTC,1.0,30,H
2014-01-18 02:02:00 UTC,0.7,21,L
2014-01-18 06:38:00 UTC,0.9,27,H
2014-01-18 14:10:00 UTC,-0.5,-15,L
2014-01-18 21:59:00 UTC,1.0,30,H
2014-01-19 02:48:00 UTC,0.6,18,L
2014-01-19 07:26:00 UTC,0.8,24,H
2014-01-19 14:40:00 UTC,-0.3,-9,L
2014-01-19 22:25:00 UTC,1.0,30,H
2014-01-20 03:40:00 UTC,0.5,15,L
2014-01-20 08:29:00 UTC,0.7,21,H
2014-01-20 15:11:00 UTC,-0.2,-6,L
2014-01-20 22:49:00 UTC,0.9,27,H
2014-01-21 04:34:00 UTC,0.4,12,L
2014-01-21 09:58:00 UTC,0.6,18,H
2014-01-21 15:45:00 UTC,0.0,0,L
2014-01-21 23:09:00 UTC,0.9,27,H
2014-01-22 05:30:00 UTC,0.2,6,L
2014-01-22 11:52:00 UTC,0.5,15,H
2014-01-22 16:23:00 UTC,0.3,9,L
2014-01-22 23:25:00 UTC,0.9,27,H
2014-01-23 06:26:00 UTC,0.0,0,L
2014-01-23 13:50:00 UTC,0.6,18,H
2014-01-23 17:09:00 UTC,0.5,15,L
2014-01-23 23:36:00 UTC,0.9,27,H
2014-01-24 07:21:00 UTC,-0.3,-9,L
2014-01-24 15:36:00 UTC,0.8,24,H
2014-01-24 18:15:00 UTC,0.7,21,L
2014-01-24 23:48:00 UTC,0.9,27,H
2014-01-25 08:15:00 UTC,-0.5,-15,L
2014-01-25 16:51:00 UTC,1.0,30,H
2014-01-25 19:55:00 UTC,0.9,27,L
2014-01-26 00:18:00 UTC,1.0,30,H
2014-01-26 09:09:00 UTC,-0.7,-21,L
2014-01-26 17:44:00 UTC,1.1,34,H
2014-01-26 21:35:00 UTC,1.0,30,L
2014-01-27 01:20:00 UTC,1.1,34,H
2014-01-27 10:03:00 UTC,-0.9,-27,L
2014-01-27 18:28:00 UTC,1.2,37,H
2014-01-27 22:36:00 UTC,1.0,30,L
2014-01-28 02:34:00 UTC,1.1,34,H
2014-01-28 10:56:00 UTC,-1.1,-34,L
2014-01-28 19:07:00 UTC,1.2,37,H
2014-01-28 23:21:00 UTC,1.0,30,L
2014-01-29 03:46:00 UTC,1.2,37,H
2014-01-29 11:48:00 UTC,-1.1,-34,L
2014-01-29 19:44:00 UTC,1.2,37,H
2014-01-30 00:06:00 UTC,0.9,27,L
2014-01-30 04:55:00 UTC,1.2,37,H
2014-01-30 12:39:00 UTC,-1.1,-34,L
2014-01-30 20:19:00 UTC,1.2,37,H
2014-01-31 00:54:00 UTC,0.7,21,L
2014-01-31 06:04:00 UTC,1.2,37,H
2014-01-31 13:30:00 UTC,-0.9,-27,L
2014-01-31 20:52:00 UTC,1.1,34,H
2014-02-01 01:47:00 UTC,0.6,18,L
2014-02-01 07:14:00 UTC,1.2,37,H
2014-02-01 14:19:00 UTC,-0.7,-21,L
2014-02-01 21:25:00 UTC,1.1,34,H
2014-02-02 02:44:00 UTC,0.3,9,L
2014-02-02 08:29:00 UTC,1.1,34,H
2014-02-02 15:09:00 UTC,-0.3,-9,L
2014-02-02 21:57:00 UTC,1.0,30,H
2014-02-03 03:46:00 UTC,0.1,3,L
