time,feet,centimeters,tide
2015-01-01 00:30:00 UTC,16.8,512,H
2015-01-01 06:52:00 UTC,0.5,15,L
2015-01-01 12:58:00 UTC,18.0,549,H
2015-01-01 19:27:00 UTC,0.2,6,L
2015-01-02 01:29:00 UTC,16.6,506,H
2015-01-02 07:47:00 UTC,0.6,18,L
2015-01-02 13:54:00 UTC,18.0,549,H
2015-01-02 20:21:00 UTC,0.1,3,L
2015-01-03 02:23:00 UTC,16.5,503,H
2015-01-03 08:38:00 UTC,0.7,21,L
2015-01-03 14:44:00 UTC,18.0,549,H
2015-01-03 21:10:00 UTC,0.0,0,L
2015-01-04 03:12:00 UTC,16.5,503,H
2015-01-04 09:26:00 UTC,0.8,24,L
2015-01-04 15:30:00 UTC,18.0,549,H
2015-01-04 21:56:00 UTC,0.0,0,L
2015-01-05 03:57:00 UTC,16.6,506,H
2015-01-05 10:12:00 UTC,0.9,27,L
2015-01-05 16:13:00 UTC,18.0,549,H
2015-01-05 22:40:00 UTC,0.1,3,L
2015-01-06 04:39:00 UTC,16.6,506,H
2015-01-06 10:56:00 UTC,1.0,30,L
2015-01-06 16:55:00 UTC,17.9,546,H
2015-01-06 23:23:00 UTC,0.1,3,L
2015-01-07 05:20:00 UTC,16.7,509,H
2015-01-07 11:39:00 UTC,1.0,30,L
2015-01-07 17:36:00 UTC,17.9,546,H
2015-01-08 00:05:00 UTC,0.2,6,L
2015-01-08 06:01:00 UTC,16.8,512,H
2015-01-08 12:21:00 UTC,1.1,34,L
2015-01-08 18:17:00 UTC,17.8,543,H
2015-01-09 00:47:00 UTC,0.3,9,L
2015-01-09 06:42:00 UTC,16.9,515,H
2015-01-09 13:04:00 UTC,1.2,37,L
2015-01-09 19:00:00 UTC,17.5,533,H
2015-01-10 01:29:00 UTC,0.6,18,L
2015-01-10 07:25:00 UTC,16.8,512,H
2015-01-10 13:49:00 UTC,1.4,43,L
2015-01-10 19:44:00 UTC,17.2,524,H
2015-01-11 02:14:00 UTC,0.9,27,L
2015-01-11 08:11:00 UTC,16.7,509,H
2015-01-11 14:37:00 UTC,1.7,52,L
2015-01-11 20:31:00 UTC,16.7,509,H
2015-01-12 03:01:00 UTC,1.3,40,L
2015-01-12 08:59:00 UTC,16.6,506,H
2015-01-12 15:27:00 UTC,1.9,58,L
2015-01-12 21:22:00 UTC,16.3,497,H
2015-01-13 03:51:00 UTC,1.7,52,L
2015-01-13 09:50:00 UTC,16.5,503,H
2015-01-13 16:19:00 UTC,2.1,64,L
2015-01-13 22:14:00 UTC,15.9,485,H
2015-01-14 04:42:00 UTC,2.0,61,L
2015-01-14 10:41:00 UTC,16.5,503,H
2015-01-14 17:13:00 UTC,2.1,64,L
2015-01-14 23:07:00 UTC,15.7,479,H
2015-01-15 05:35:00 UTC,2.1,64,L
2015-01-15 11:34:00 UTC,16.6,506,H
2015-01-15 18:08:00 UTC,1.8,55,L
2015-01-16 00:02:00 UTC,15.7,479,H
2015-01-16 06:29:00 UTC,1.9,58,L
2015-01-16 12:28:00 UTC,17.0,518,H
2015-01-16 19:03:00 UTC,1.3,40,L
2015-01-17 00:58:00 UTC,16.0,488,H
2015-01-17 07:23:00 UTC,1.5,46,L
2015-01-17 13:22:00 UTC,17.6,536,H
2015-01-17 19:56:00 UTC,0.6,18,L
2015-01-18 01:52:00 UTC,16.5,503,H
2015-01-18 08:15:00 UTC,0.9,27,L
2015-01-18 14:15:00 UTC,18.4,561,H
2015-01-18 20:47:00 UTC,-0.3,-9,L
2015-01-19 02:44:00 UTC,17.3,527,H
2015-01-19 09:05:00 UTC,0.2,6,L
2015-01-19 15:06:00 UTC,19.2,585,H
2015-01-19 21:36:00 UTC,-1.1,-34,L
2015-01-20 03:35:00 UTC,18.1,552,H
2015-01-20 09:55:00 UTC,-0.6,-18,L
2015-01-20 15:56:00 UTC,20.0,610,H
2015-01-20 22:26:00 UTC,-1.9,-58,L
2015-01-21 04:25:00 UTC,18.9,576,H
2015-01-21 10:45:00 UTC,-1.3,-40,L
