date,day,time,feet,centimeters,tide
2013/12/31,Tue,01:16 AM,13.8,421,H
2013/12/31,Tue,07:02 AM,2.8,85,L
2013/12/31,Tue,12:52 PM,16.9,515,H
2013/12/31,Tue,07:42 PM,-4.2,-128,L
2014/01/01,Wed,02:02 AM,15.4,469,H
2014/01/01,Wed,07:52 AM,1.4,43,L
2014/01/01,Wed,01:43 PM,17.9,546,H
2014/01/01,Wed,08:27 PM,-5.3,-162,L
2014/01/02,Thu,02:47 AM,16.4,500,H
2014/01/02,Thu,08:40 AM,0.5,15,L
2014/01/02,Thu,02:31 PM,18.2,555,H
2014/01/02,Thu,09:11 PM,-5.5,-168,L
2014/01/03,Fri,03:31 AM,16.9,515,H
2014/01/03,Fri,09:27 AM,0.0,0,L
2014/01/03,Fri,03:20 PM,17.9,546,H
2014/01/03,Fri,09:55 PM,-5.0,-152,L
2014/01/04,Sat,04:15 AM,16.9,515,H
2014/01/04,Sat,10:16 AM,0.1,3,L
2014/01/04,Sat,04:08 PM,16.8,512,H
2014/01/04,Sat,10:40 PM,-3.7,-113,L
2014/01/05,Sun,05:00 AM,16.4,500,H
2014/01/05,Sun,11:06 AM,0.6,18,L
2014/01/05,Sun,04:59 PM,15.2,463,H
2014/01/05,Sun,11:26 PM,-1.8,-55,L
2014/01/06,Mon,05:46 AM,15.5,472,H
2014/01/06,Mon,12:01 PM,1.4,43,L
2014/01/06,Mon,05:54 PM,13.2,402,H
2014/01/07,Tue,12:15 AM,0.4,12,L
2014/01/07,Tue,06:36 AM,14.4,439,H
2014/01/07,Tue,01:01 PM,2.4,73,L
2014/01/07,Tue,06:57 PM,11.2,341,H
2014/01/08,Wed,01:09 AM,2.6,79,L
2014/01/08,Wed,07:31 AM,13.3,405,H
2014/01/08,Wed,02:11 PM,3.0,91,L
2014/01/08,Wed,08:12 PM,9.7,296,H
2014/01/09,Thu,02:11 AM,4.6,140,L
2014/01/09,Thu,08:33 AM,12.5,381,H
2014/01/09,Thu,03:30 PM,3.2,98,L
2014/01/09,Thu,09:39 PM,9.1,277,H
2014/01/10,Fri,03:23 AM,5.8,177,L
2014/01/10,Fri,09:40 AM,12.1,369,H
2014/01/10,Fri,04:47 PM,2.6,79,L
2014/01/10,Fri,11:02 PM,9.4,287,H
2014/01/11,Sat,04:38 AM,6.3,192,L
2014/01/11,Sat,10:43 AM,12.2,372,H
2014/01/11,Sat,05:48 PM,1.7,52,L
2014/01/12,Sun,12:06 AM,10.2,311,H
2014/01/12,Sun,05:42 AM,6.0,183,L
2014/01/12,Sun,11:37 AM,12.6,384,H
2014/01/12,Sun,06:35 PM,0.8,24,L
2014/01/13,Mon,12:53 AM,11.2,341,H
2014/01/13,Mon,06:32 AM,5.4,165,L
2014/01/13,Mon,12:23 PM,13.2,402,H
2014/01/13,Mon,07:14 PM,-0.1,-3,L
2014/01/14,Tue,01:32 AM,12.1,369,H
2014/01/14,Tue,07:13 AM,4.6,140,L
2014/01/14,Tue,01:02 PM,13.8,421,H
2014/01/14,Tue,07:47 PM,-0.9,-27,L
2014/01/15,Wed,02:05 AM,12.9,393,H
2014/01/15,Wed,07:50 AM,3.8,116,L
