time,feet,centimeters,tide
2014-12-31 02:34:00 UTC,-0.2,-6,L
2014-12-31 08:32:00 UTC,3.3,101,H
2014-12-31 15:38:00 UTC,0.1,3,L
2014-12-31 20:48:00 UTC,2.5,76,H
2015-01-01 03:34:00 UTC,-0.2,-6,L
2015-01-01 09:31:00 UTC,3.4,104,H
2015-01-01 16:38:00 UTC,0.0,0,L
2015-01-01 21:47:00 UTC,2.5,76,H
2015-01-02 04:27:00 UTC,-0.2,-6,L
2015-01-02 10:23:00 UTC,3.5,107,H
2015-01-02 17:31:00 UTC,-0.1,-3,L
2015-01-02 22:40:00 UTC,2.5,76,H
2015-01-03 05:17:00 UTC,-0.3,-9,L
2015-01-03 11:10:00 UTC,3.5,107,H
2015-01-03 18:18:00 UTC,-0.1,-3,L
2015-01-03 23:27:00 UTC,2.5,76,H
2015-01-04 06:03:00 UTC,-0.3,-9,L
2015-01-04 11:54:00 UTC,3.5,107,H
2015-01-04 19:01:00 UTC,-0.2,-6,L
2015-01-05 00:12:00 UTC,2.5,76,H
2015-01-05 06:46:00 UTC,-0.2,-6,L
2015-01-05 12:35:00 UTC,3.5,107,H
2015-01-05 19:42:00 UTC,-0.2,-6,L
2015-01-06 00:53:00 UTC,2.5,76,H
2015-01-06 07:27:00 UTC,-0.2,-6,L
2015-01-06 13:14:00 UTC,3.4,104,H
2015-01-06 20:20:00 UTC,-0.1,-3,L
2015-01-07 01:33:00 UTC,2.5,76,H
2015-01-07 08:07:00 UTC,-0.1,-3,L
2015-01-07 13:52:00 UTC,3.2,98,H
2015-01-07 20:57:00 UTC,-0.1,-3,L
2015-01-08 02:12:00 UTC,2.5,76,H
2015-01-08 08:46:00 UTC,0.0,0,L
2015-01-08 14:29:00 UTC,3.1,94,H
2015-01-08 21:33:00 UTC,0.0,0,L
2015-01-09 02:52:00 UTC,2.5,76,H
2015-01-09 09:27:00 UTC,0.1,3,L
2015-01-09 15:06:00 UTC,2.9,88,H
2015-01-09 22:09:00 UTC,0.0,0,L
2015-01-10 03:32:00 UTC,2.4,73,H
2015-01-10 10:10:00 UTC,0.2,6,L
2015-01-10 15:44:00 UTC,2.7,82,H
2015-01-10 22:45:00 UTC,0.1,3,L
2015-01-11 04:16:00 UTC,2.4,73,H
2015-01-11 10:56:00 UTC,0.3,9,L
2015-01-11 16:24:00 UTC,2.5,76,H
2015-01-11 23:24:00 UTC,0.1,3,L
2015-01-12 05:02:00 UTC,2.4,73,H
2015-01-12 11:47:00 UTC,0.4,12,L
2015-01-12 17:09:00 UTC,2.4,73,H
2015-01-13 00:07:00 UTC,0.1,3,L
2015-01-13 05:54:00 UTC,2.5,76,H
2015-01-13 12:45:00 UTC,0.4,12,L
2015-01-13 17:59:00 UTC,2.2,67,H
2015-01-14 00:54:00 UTC,0.1,3,L
2015-01-14 06:49:00 UTC,2.6,79,H
2015-01-14 13:48:00 UTC,0.4,12,L
2015-01-14 18:55:00 UTC,2.2,67,H
2015-01-15 01:45:00 UTC,0.1,3,L
2015-01-15 07:46:00 UTC,2.8,85,H
2015-01-15 14:50:00 UTC,0.3,9,L
2015-01-15 19:54:00 UTC,2.2,67,H
2015-01-16 02:40:00 UTC,0.0,0,L
2015-01-16 08:41:00 UTC,3.0,91,H
2015-01-16 15:50:00 UTC,0.2,6,L
2015-01-16 20:53:00 UTC,2.2,67,H
2015-01-17 03:35:00 UTC,-0.2,-6,L
2015-01-17 09:35:00 UTC,3.2,98,H
2015-01-17 16:44:00 UTC,0.0,0,L
2015-01-17 21:49:00 UTC,2.4,73,H
2015-01-18 04:29:00 UTC,-0.3,-9,L
2015-01-18 10:26:00 UTC,3.5,107,H
2015-01-18 17:34:00 UTC,-0.2,-6,L
2015-01-18 22:42:00 UTC,2.6,79,H
2015-01-19 05:22:00 UTC,-0.5,-15,L
2015-01-19 11:16:00 UTC,3.7,113,H
2015-01-19 18:23:00 UTC,-0.4,-12,L
2015-01-19 23:34:00 UTC,2.8,85,H
2015-01-20 06:15:00 UTC,-0.7,-21,L
2015-01-20 12:06:00 UTC,3.9,119,H
2015-01-20 19:10:00 UTC,-0.5,-15,L
2015-01-21 00:25:00 UTC,2.9,88,H
2015-01-21 07:07:00 UTC,-0.7,-21,L
2015-01-21 12:55:00 UTC,3.9,119,H
2015-01-21 19:58:00 UTC,-0.6,-18,L
2015-01-22 01:16:00 UTC,3.1,94,H
2015-01-22 08:00:00 UTC,-0.8,-24,L
2015-01-22 13:44:00 UTC,3.8,116,H
2015-01-22 20:45:00 UTC,-0.7,-21,L
2015-01-23 02:09:00 UTC,3.2,98,H
2015-01-23 08:54:00 UTC,-0.7,-21,L
2015-01-23 14:34:00 UTC,3.7,113,H
2015-01-23 21:33:00 UTC,-0.7,-21,L
