time,feet,centimeters,tide
2014-12-31 01:21:00 UTC,-0.1,-3,L
2014-12-31 08:38:00 UTC,5.0,152,H
2014-12-31 12:32:00 UTC,3.0,91,L
2014-12-31 18:51:00 UTC,7.2,219,H
2015-01-01 02:14:00 UTC,-0.2,-6,L
2015-01-01 09:50:00 UTC,5.2,158,H
2015-01-01 13:31:00 UTC,3.4,104,L
2015-01-01 19:34:00 UTC,7.0,213,H
2015-01-02 03:03:00 UTC,-0.4,-12,L
2015-01-02 11:06:00 UTC,5.5,168,H
2015-01-02 14:33:00 UTC,3.7,113,L
2015-01-02 20:11:00 UTC,6.7,204,H
2015-01-03 03:51:00 UTC,-0.3,-9,L
2015-01-03 12:15:00 UTC,5.8,177,H
2015-01-03 15:42:00 UTC,4.0,122,L
2015-01-03 20:46:00 UTC,6.4,195,H
2015-01-04 04:36:00 UTC,-0.2,-6,L
2015-01-04 13:15:00 UTC,6.0,183,H
2015-01-04 17:00:00 UTC,4.1,125,L
2015-01-04 21:20:00 UTC,6.0,183,H
2015-01-05 05:20:00 UTC,0.0,0,L
2015-01-05 14:05:00 UTC,6.1,186,H
2015-01-05 18:26:00 UTC,4.1,125,L
2015-01-05 21:54:00 UTC,5.6,171,H
2015-01-06 06:02:00 UTC,0.2,6,L
2015-01-06 14:46:00 UTC,6.1,186,H
2015-01-06 19:53:00 UTC,3.9,119,L
2015-01-06 22:35:00 UTC,5.2,158,H
2015-01-07 06:42:00 UTC,0.4,12,L
2015-01-07 15:18:00 UTC,6.1,186,H
2015-01-07 21:05:00 UTC,3.6,110,L
2015-01-07 23:32:00 UTC,4.8,146,H
2015-01-08 07:22:00 UTC,0.7,21,L
2015-01-08 15:45:00 UTC,6.1,186,H
2015-01-08 21:56:00 UTC,3.3,101,L
2015-01-09 00:50:00 UTC,4.4,134,H
2015-01-09 08:01:00 UTC,1.0,30,L
2015-01-09 16:08:00 UTC,6.0,183,H
2015-01-09 22:33:00 UTC,2.9,88,L
2015-01-10 02:17:00 UTC,4.1,125,H
2015-01-10 08:40:00 UTC,1.3,40,L
2015-01-10 16:29:00 UTC,6.0,183,H
2015-01-10 23:07:00 UTC,2.5,76,L
2015-01-11 03:44:00 UTC,4.0,122,H
2015-01-11 09:18:00 UTC,1.7,52,L
2015-01-11 16:47:00 UTC,6.0,183,H
2015-01-11 23:39:00 UTC,2.0,61,L
2015-01-12 05:06:00 UTC,3.9,119,H
2015-01-12 09:54:00 UTC,2.1,64,L
2015-01-12 17:04:00 UTC,6.0,183,H
2015-01-13 00:09:00 UTC,1.6,49,L
2015-01-13 06:24:00 UTC,4.0,122,H
2015-01-13 10:27:00 UTC,2.5,76,L
2015-01-13 17:19:00 UTC,6.0,183,H
2015-01-14 00:39:00 UTC,1.2,37,L
2015-01-14 07:37:00 UTC,4.2,128,H
2015-01-14 10:55:00 UTC,2.9,88,L
2015-01-14 17:34:00 UTC,6.2,189,H
2015-01-15 01:09:00 UTC,0.8,24,L
2015-01-15 08:46:00 UTC,4.5,137,H
2015-01-15 11:19:00 UTC,3.3,101,L
2015-01-15 17:52:00 UTC,6.4,195,H
2015-01-16 01:41:00 UTC,0.5,15,L
2015-01-16 09:51:00 UTC,4.7,143,H
2015-01-16 11:43:00 UTC,3.5,107,L
2015-01-16 18:16:00 UTC,6.7,204,H
2015-01-17 02:15:00 UTC,0.2,6,L
2015-01-17 18:48:00 UTC,6.9,210,H
2015-01-18 02:52:00 UTC,-0.1,-3,L
2015-01-18 11:29:00 UTC,5.1,155,H
2015-01-18 13:07:00 UTC,3.9,119,L
2015-01-18 19:30:00 UTC,7.1,216,H
2015-01-19 03:34:00 UTC,-0.4,-12,L
2015-01-19 12:01:00 UTC,5.3,162,H
2015-01-19 14:17:00 UTC,3.9,119,L
2015-01-19 20:20:00 UTC,7.1,216,H
2015-01-20 04:19:00 UTC,-0.5,-15,L
2015-01-20 12:33:00 UTC,5.5,168,H
2015-01-20 15:38:00 UTC,3.8,116,L
2015-01-20 21:19:00 UTC,6.8,207,H
2015-01-21 05:08:00 UTC,-0.4,-12,L
2015-01-21 13:07:00 UTC,5.7,174,H
2015-01-21 17:04:00 UTC,3.6,110,L
2015-01-21 22:28:00 UTC,6.4,195,H
2015-01-22 05:59:00 UTC,-0.2,-6,L
2015-01-22 13:43:00 UTC,5.9,180,H
2015-01-22 18:30:00 UTC,3.1,94,L
2015-01-22 23:47:00 UTC,5.9,180,H
2015-01-23 06:52:00 UTC,0.1,3,L
2015-01-23 14:22:00 UTC,6.2,189,H
2015-01-23 19:52:00 UTC,2.5,76,L
2015-01-24 01:16:00 UTC,5.4,165,H
2015-01-24 07:47:00 UTC,0.5,15,L
