time,feet,centimeters,tide
2015-01-01 06:40:00 UTC,13.4,408,H
2015-01-01 12:13:00 UTC,3.4,104,L
2015-01-01 18:39:00 UTC,17.0,518,H
2015-01-02 01:14:00 UTC,-0.4,-12,L
2015-01-02 07:41:00 UTC,14.2,433,H
2015-01-02 13:12:00 UTC,3.2,98,L
2015-01-02 19:33:00 UTC,17.5,533,H
2015-01-03 02:03:00 UTC,-1.3,-40,L
2015-01-03 08:33:00 UTC,14.9,454,H
2015-01-03 14:03:00 UTC,3.0,91,L
2015-01-03 20:20:00 UTC,17.9,546,H
2015-01-04 02:47:00 UTC,-1.9,-58,L
2015-01-04 09:18:00 UTC,15.4,469,H
2015-01-04 14:48:00 UTC,2.8,85,L
2015-01-04 21:03:00 UTC,17.9,546,H
2015-01-05 03:27:00 UTC,-2.1,-64,L
2015-01-05 09:58:00 UTC,15.7,479,H
2015-01-05 15:30:00 UTC,2.7,82,L
2015-01-05 21:41:00 UTC,17.8,543,H
2015-01-06 04:04:00 UTC,-2.0,-61,L
2015-01-06 10:35:00 UTC,15.8,482,H
2015-01-06 16:09:00 UTC,2.8,85,L
2015-01-06 22:17:00 UTC,17.3,527,H
2015-01-07 04:39:00 UTC,-1.6,-49,L
2015-01-07 11:09:00 UTC,15.6,475,H
2015-01-07 16:46:00 UTC,2.9,88,L
2015-01-07 22:50:00 UTC,16.7,509,H
2015-01-08 05:13:00 UTC,-1.1,-34,L
2015-01-08 11:40:00 UTC,15.4,469,H
2015-01-08 17:24:00 UTC,3.2,98,L
2015-01-08 23:22:00 UTC,16.0,488,H
2015-01-09 05:47:00 UTC,-0.4,-12,L
2015-01-09 12:12:00 UTC,15.0,457,H
2015-01-09 18:02:00 UTC,3.4,104,L
2015-01-09 23:56:00 UTC,15.1,460,H
2015-01-10 06:21:00 UTC,0.5,15,L
2015-01-10 12:45:00 UTC,14.7,448,H
2015-01-10 18:42:00 UTC,3.7,113,L
2015-01-11 00:34:00 UTC,14.1,430,H
2015-01-11 06:57:00 UTC,1.4,43,L
2015-01-11 13:23:00 UTC,14.4,439,H
2015-01-11 19:28:00 UTC,4.0,122,L
2015-01-12 01:20:00 UTC,13.0,396,H
2015-01-12 07:37:00 UTC,2.4,73,L
2015-01-12 14:08:00 UTC,14.1,430,H
2015-01-12 20:21:00 UTC,4.1,125,L
2015-01-13 02:19:00 UTC,12.0,366,H
2015-01-13 08:24:00 UTC,3.4,104,L
2015-01-13 15:01:00 UTC,14.0,427,H
2015-01-13 21:25:00 UTC,4.0,122,L
2015-01-14 03:34:00 UTC,11.3,344,H
2015-01-14 09:22:00 UTC,4.3,131,L
2015-01-14 16:02:00 UTC,14.1,430,H
2015-01-14 22:37:00 UTC,3.5,107,L
2015-01-15 04:57:00 UTC,11.3,344,H
2015-01-15 10:31:00 UTC,4.9,149,L
2015-01-15 17:04:00 UTC,14.5,442,H
2015-01-15 23:46:00 UTC,2.4,73,L
2015-01-16 06:14:00 UTC,11.9,363,H
2015-01-16 11:42:00 UTC,4.8,146,L
2015-01-16 18:04:00 UTC,15.3,466,H
2015-01-17 00:45:00 UTC,1.0,30,L
2015-01-17 07:17:00 UTC,12.9,393,H
2015-01-17 12:44:00 UTC,4.3,131,L
2015-01-17 18:59:00 UTC,16.2,494,H
2015-01-18 01:36:00 UTC,-0.5,-15,L
2015-01-18 08:09:00 UTC,14.1,430,H
2015-01-18 13:37:00 UTC,3.6,110,L
2015-01-18 19:49:00 UTC,17.3,527,H
2015-01-19 02:21:00 UTC,-1.8,-55,L
2015-01-19 08:54:00 UTC,15.2,463,H
2015-01-19 14:25:00 UTC,2.7,82,L
2015-01-19 20:36:00 UTC,18.2,555,H
2015-01-20 03:04:00 UTC,-2.8,-85,L
2015-01-20 09:35:00 UTC,16.2,494,H
2015-01-20 15:10:00 UTC,1.8,55,L
2015-01-20 21:20:00 UTC,18.9,576,H
2015-01-21 03:46:00 UTC,-3.4,-104,L
2015-01-21 10:14:00 UTC,17.0,518,H
2015-01-21 15:56:00 UTC,1.2,37,L
2015-01-21 22:03:00 UTC,19.1,582,H
2015-01-22 04:28:00 UTC,-3.5,-107,L
2015-01-22 10:53:00 UTC,17.5,533,H
2015-01-22 16:41:00 UTC,0.7,21,L
2015-01-22 22:47:00 UTC,18.9,576,H
2015-01-23 05:10:00 UTC,-3.2,-98,L
2015-01-23 11:32:00 UTC,17.7,539,H
2015-01-23 17:28:00 UTC,0.5,15,L
2015-01-23 23:32:00 UTC,18.1,552,H
2015-01-24 05:53:00 UTC,-2.3,-70,L
2015-01-24 12:14:00 UTC,17.6,536,H
2015-01-24 18:18:00 UTC,0.6,18,L
2015-01-25 00:20:00 UTC,16.8,512,H
2015-01-25 06:37:00 UTC,-1.0,-30,L
2015-01-25 13:00:00 UTC,17.2,524,H
2015-01-25 19:11:00 UTC,1.0,30,L
2015-01-26 01:15:00 UTC,15.3,466,H
2015-01-26 07:24:00 UTC,0.5,15,L
2015-01-26 13:51:00 UTC,16.7,509,H
2015-01-26 20:09:00 UTC,1.5,46,L
2015-01-27 02:19:00 UTC,13.7,418,H
2015-01-27 08:16:00 UTC,2.1,64,L
2015-01-27 14:51:00 UTC,16.0,488,H
2015-01-27 21:17:00 UTC,2.0,61,L
2015-01-28 03:38:00 UTC,12.6,384,H
2015-01-28 09:19:00 UTC,3.5,107,L
2015-01-28 15:59:00 UTC,15.6,475,H
2015-01-28 22:33:00 UTC,2.1,64,L
2015-01-29 05:04:00 UTC,12.2,372,H
2015-01-29 10:33:00 UTC,4.4,134,L
2015-01-29 17:11:00 UTC,15.6,475,H
2015-01-29 23:51:00 UTC,1.6,49,L
2015-01-30 06:22:00 UTC,12.6,384,H
2015-01-30 11:50:00 UTC,4.6,140,L
2015-01-30 18:19:00 UTC,15.9,485,H
2015-01-31 00:57:00 UTC,0.7,21,L
2015-01-31 07:27:00 UTC,13.4,408,H
2015-01-31 12:57:00 UTC,4.2,128,L
2015-01-31 19:18:00 UTC,16.4,500,H
2015-02-01 01:49:00 UTC,-0.2,-6,L
2015-02-01 08:19:00 UTC,14.4,439,H
2015-02-01 13:51:00 UTC,3.5,107,L
2015-02-01 20:08:00 UTC,16.9,515,H
2015-02-02 02:33:00 UTC,-0.9,-27,L
2015-02-02 09:03:00 UTC,15.2,463,H
2015-02-02 14:36:00 UTC,2.9,88,L
2015-02-02 20:52:00 UTC,17.2,524,H
2015-02-03 03:11:00 UTC,-1.3,-40,L
2015-02-03 09:41:00 UTC,15.7,479,H
2015-02-03 15:16:00 UTC,2.4,73,L
