time,feet,centimeters,tide
2013-12-31 06:06:00 UTC,-2.6,-79,L
2013-12-31 13:18:00 UTC,15.6,475,H
2013-12-31 18:41:00 UTC,8.3,253,L
2013-12-31 23:25:00 UTC,15.7,479,H
2014-01-01 06:54:00 UTC,-3.2,-98,L
2014-01-01 13:58:00 UTC,16.3,497,H
2014-01-01 19:35:00 UTC,7.7,235,L
2014-01-02 00:20:00 UTC,15.6,475,H
2014-01-02 07:40:00 UTC,-3.5,-107,L
2014-01-02 14:39:00 UTC,16.9,515,H
2014-01-02 20:26:00 UTC,7.2,219,L
2014-01-03 01:14:00 UTC,15.3,466,H
2014-01-03 08:26:00 UTC,-3.2,-98,L
2014-01-03 15:20:00 UTC,17.3,527,H
2014-01-03 21:19:00 UTC,6.5,198,L
2014-01-04 02:10:00 UTC,14.7,448,H
2014-01-04 09:13:00 UTC,-2.4,-73,L
2014-01-04 16:01:00 UTC,17.4,530,H
2014-01-04 22:14:00 UTC,5.7,174,L
2014-01-05 03:09:00 UTC,13.9,424,H
2014-01-05 10:01:00 UTC,-1.1,-34,L
2014-01-05 16:43:00 UTC,17.4,530,H
2014-01-05 23:11:00 UTC,4.9,149,L
2014-01-06 04:14:00 UTC,12.9,393,H
2014-01-06 10:49:00 UTC,0.5,15,L
2014-01-06 17:26:00 UTC,17.2,524,H
2014-01-07 00:11:00 UTC,4.0,122,L
2014-01-07 05:27:00 UTC,11.9,363,H
2014-01-07 11:41:00 UTC,2.5,76,L
2014-01-07 18:10:00 UTC,16.8,512,H
2014-01-08 01:14:00 UTC,3.2,98,L
2014-01-08 06:52:00 UTC,11.2,341,H
2014-01-08 12:38:00 UTC,4.4,134,L
2014-01-08 18:56:00 UTC,16.2,494,H
2014-01-09 02:18:00 UTC,2.3,70,L
2014-01-09 08:36:00 UTC,11.2,341,H
2014-01-09 13:46:00 UTC,6.2,189,L
2014-01-09 19:45:00 UTC,15.6,475,H
2014-01-10 03:19:00 UTC,1.5,46,L
2014-01-10 10:20:00 UTC,12.0,366,H
2014-01-10 15:10:00 UTC,7.4,226,L
2014-01-10 20:36:00 UTC,15.0,457,H
2014-01-11 04:14:00 UTC,0.8,24,L
2014-01-11 11:37:00 UTC,13.2,402,H
2014-01-11 16:37:00 UTC,8.0,244,L
2014-01-11 21:27:00 UTC,14.5,442,H
2014-01-12 05:01:00 UTC,0.2,6,L
2014-01-12 12:32:00 UTC,14.2,433,H
2014-01-12 17:47:00 UTC,8.1,247,L
2014-01-12 22:15:00 UTC,14.1,430,H
2014-01-13 05:42:00 UTC,-0.2,-6,L
2014-01-13 13:15:00 UTC,14.9,454,H
2014-01-13 18:41:00 UTC,8.0,244,L
2014-01-13 23:01:00 UTC,13.9,424,H
2014-01-14 06:19:00 UTC,-0.5,-15,L
2014-01-14 13:49:00 UTC,15.2,463,H
2014-01-14 19:23:00 UTC,7.8,238,L
2014-01-14 23:42:00 UTC,13.7,418,H
2014-01-15 06:54:00 UTC,-0.6,-18,L
2014-01-15 14:16:00 UTC,15.4,469,H
2014-01-15 19:59:00 UTC,7.6,232,L
2014-01-16 00:22:00 UTC,13.5,411,H
2014-01-16 07:27:00 UTC,-0.6,-18,L
2014-01-16 14:38:00 UTC,15.5,472,H
2014-01-16 20:30:00 UTC,7.3,223,L
2014-01-17 01:01:00 UTC,13.4,408,H
2014-01-17 08:00:00 UTC,-0.5,-15,L
2014-01-17 15:00:00 UTC,15.7,479,H
2014-01-17 21:01:00 UTC,6.8,207,L
2014-01-18 01:41:00 UTC,13.2,402,H
2014-01-18 08:34:00 UTC,-0.2,-6,L
2014-01-18 15:23:00 UTC,15.8,482,H
2014-01-18 21:34:00 UTC,6.3,192,L
2014-01-19 02:22:00 UTC,12.9,393,H
2014-01-19 09:09:00 UTC,0.3,9,L
2014-01-19 15:50:00 UTC,15.9,485,H
2014-01-19 22:10:00 UTC,5.7,174,L
2014-01-20 03:06:00 UTC,12.5,381,H
2014-01-20 09:44:00 UTC,1.1,34,L
2014-01-20 16:19:00 UTC,16.0,488,H
2014-01-20 22:49:00 UTC,5.1,155,L
2014-01-21 03:54:00 UTC,12.0,366,H
2014-01-21 10:20:00 UTC,2.2,67,L
2014-01-21 16:50:00 UTC,15.9,485,H
2014-01-21 23:31:00 UTC,4.3,131,L
2014-01-22 04:49:00 UTC,11.5,351,H
2014-01-22 10:59:00 UTC,3.4,104,L
2014-01-22 17:24:00 UTC,15.7,479,H
2014-01-23 00:19:00 UTC,3.6,110,L
