time,feet,centimeters,tide
2015-01-01 00:16:00 UTC,10.8,329,H
2015-01-01 06:27:00 UTC,0.2,6,L
2015-01-01 12:40:00 UTC,12.1,369,H
2015-01-01 19:11:00 UTC,-0.5,-15,L
2015-01-02 01:16:00 UTC,10.7,326,H
2015-01-02 07:24:00 UTC,0.3,9,L
2015-01-02 13:35:00 UTC,12.1,369,H
2015-01-02 20:06:00 UTC,-0.6,-18,L
2015-01-03 02:11:00 UTC,10.6,323,H
2015-01-03 08:17:00 UTC,0.4,12,L
2015-01-03 14:26:00 UTC,12.0,366,H
2015-01-03 20:58:00 UTC,-0.6,-18,L
2015-01-04 03:02:00 UTC,10.6,323,H
2015-01-04 09:07:00 UTC,0.6,18,L
2015-01-04 15:14:00 UTC,11.9,363,H
2015-01-04 21:45:00 UTC,-0.5,-15,L
2015-01-05 03:49:00 UTC,10.5,320,H
2015-01-05 09:52:00 UTC,0.7,21,L
2015-01-05 15:58:00 UTC,11.7,357,H
2015-01-05 22:27:00 UTC,-0.4,-12,L
2015-01-06 04:31:00 UTC,10.5,320,H
2015-01-06 10:32:00 UTC,0.9,27,L
2015-01-06 16:37:00 UTC,11.5,351,H
2015-01-06 23:04:00 UTC,-0.2,-6,L
2015-01-07 05:09:00 UTC,10.4,317,H
2015-01-07 11:08:00 UTC,1.0,30,L
2015-01-07 17:13:00 UTC,11.3,344,H
2015-01-07 23:38:00 UTC,0.0,0,L
2015-01-08 05:45:00 UTC,10.3,314,H
2015-01-08 11:42:00 UTC,1.1,34,L
2015-01-08 17:48:00 UTC,11.1,338,H
2015-01-09 00:11:00 UTC,0.2,6,L
2015-01-09 06:21:00 UTC,10.3,314,H
2015-01-09 12:20:00 UTC,1.3,40,L
2015-01-09 18:24:00 UTC,10.8,329,H
2015-01-10 00:47:00 UTC,0.4,12,L
2015-01-10 06:59:00 UTC,10.2,311,H
2015-01-10 13:01:00 UTC,1.4,43,L
2015-01-10 19:04:00 UTC,10.5,320,H
2015-01-11 01:26:00 UTC,0.7,21,L
2015-01-11 07:39:00 UTC,10.2,311,H
2015-01-11 13:47:00 UTC,1.4,43,L
2015-01-11 19:48:00 UTC,10.2,311,H
2015-01-12 02:09:00 UTC,0.9,27,L
2015-01-12 08:22:00 UTC,10.2,311,H
2015-01-12 14:36:00 UTC,1.5,46,L
2015-01-12 20:36:00 UTC,9.8,299,H
2015-01-13 02:54:00 UTC,1.2,37,L
2015-01-13 09:08:00 UTC,10.2,311,H
2015-01-13 15:27:00 UTC,1.6,49,L
2015-01-13 21:28:00 UTC,9.6,293,H
2015-01-14 03:43:00 UTC,1.5,46,L
2015-01-14 09:58:00 UTC,10.2,311,H
2015-01-14 16:24:00 UTC,1.5,46,L
2015-01-14 22:26:00 UTC,9.4,287,H
2015-01-15 04:37:00 UTC,1.6,49,L
2015-01-15 10:54:00 UTC,10.4,317,H
2015-01-15 17:25:00 UTC,1.3,40,L
2015-01-15 23:30:00 UTC,9.3,283,H
2015-01-16 05:33:00 UTC,1.6,49,L
2015-01-16 11:51:00 UTC,10.7,326,H
2015-01-16 18:23:00 UTC,0.9,27,L
2015-01-17 00:30:00 UTC,9.6,293,H
2015-01-17 06:28:00 UTC,1.4,43,L
2015-01-17 12:44:00 UTC,11.1,338,H
2015-01-17 19:15:00 UTC,0.4,12,L
2015-01-18 01:23:00 UTC,9.9,302,H
2015-01-18 07:20:00 UTC,1.0,30,L
2015-01-18 13:34:00 UTC,11.6,354,H
2015-01-18 20:04:00 UTC,-0.2,-6,L
2015-01-19 02:14:00 UTC,10.4,317,H
2015-01-19 08:10:00 UTC,0.6,18,L
2015-01-19 14:25:00 UTC,12.2,372,H
2015-01-19 20:54:00 UTC,-0.8,-24,L
2015-01-20 03:04:00 UTC,11.0,335,H
2015-01-20 09:01:00 UTC,0.1,3,L
2015-01-20 15:15:00 UTC,12.7,387,H
2015-01-20 21:42:00 UTC,-1.4,-43,L
2015-01-21 03:53:00 UTC,11.5,351,H
2015-01-21 09:52:00 UTC,-0.4,-12,L
2015-01-21 16:05:00 UTC,13.1,399,H
2015-01-21 22:30:00 UTC,-1.8,-55,L
2015-01-22 04:41:00 UTC,12.1,369,H
2015-01-22 10:43:00 UTC,-0.9,-27,L
2015-01-22 16:54:00 UTC,13.3,405,H
2015-01-22 23:17:00 UTC,-2.0,-61,L
2015-01-23 05:29:00 UTC,12.4,378,H
2015-01-23 11:35:00 UTC,-1.1,-34,L
2015-01-23 17:45:00 UTC,13.2,402,H
2015-01-24 00:06:00 UTC,-1.9,-58,L
2015-01-24 06:20:00 UTC,12.6,384,H
2015-01-24 12:29:00 UTC,-1.2,-37,L
2015-01-24 18:40:00 UTC,12.9,393,H
2015-01-25 00:58:00 UTC,-1.7,-52,L
2015-01-25 07:15:00 UTC,12.6,384,H
2015-01-25 13:27:00 UTC,-1.0,-30,L
2015-01-25 19:38:00 UTC,12.4,378,H
2015-01-26 01:54:00 UTC,-1.2,-37,L
2015-01-26 08:12:00 UTC,12.5,381,H
2015-01-26 14:29:00 UTC,-0.8,-24,L
2015-01-26 20:39:00 UTC,11.8,360,H
2015-01-27 02:52:00 UTC,-0.7,-21,L
2015-01-27 09:11:00 UTC,12.3,375,H
2015-01-27 15:33:00 UTC,-0.5,-15,L
2015-01-27 21:42:00 UTC,11.2,341,H
2015-01-28 03:53:00 UTC,-0.1,-3,L
2015-01-28 10:13:00 UTC,12.0,366,H
2015-01-28 16:42:00 UTC,-0.2,-6,L
2015-01-28 22:49:00 UTC,10.7,326,H
2015-01-29 05:01:00 UTC,0.4,12,L
2015-01-29 11:17:00 UTC,11.7,357,H
2015-01-29 17:51:00 UTC,-0.1,-3,L
2015-01-29 23:55:00 UTC,10.4,317,H
2015-01-30 06:07:00 UTC,0.6,18,L
2015-01-30 12:19:00 UTC,11.6,354,H
2015-01-30 18:52:00 UTC,-0.1,-3,L
2015-01-31 00:57:00 UTC,10.3,314,H
2015-01-31 07:07:00 UTC,0.8,24,L
2015-01-31 13:16:00 UTC,11.5,351,H
2015-01-31 19:48:00 UTC,-0.1,-3,L
2015-02-01 01:52:00 UTC,10.2,311,H
2015-02-01 08:01:00 UTC,0.8,24,L
2015-02-01 14:08:00 UTC,11.5,351,H
2015-02-01 20:39:00 UTC,-0.1,-3,L
2015-02-02 02:43:00 UTC,10.3,314,H
2015-02-02 08:51:00 UTC,0.9,27,L
2015-02-02 14:56:00 UTC,11.4,347,H
2015-02-02 21:26:00 UTC,-0.1,-3,L
2015-02-03 03:29:00 UTC,10.3,314,H
2015-02-03 09:35:00 UTC,0.9,27,L
2015-02-03 15:39:00 UTC,11.3,344,H
2015-02-03 22:07:00 UTC,0.0,0,L
2015-02-04 04:09:00 UTC,10.3,314,H
2015-02-04 10:14:00 UTC,1.0,30,L
2015-02-04 16:18:00 UTC,11.2,341,H
2015-02-04 22:42:00 UTC,0.1,3,L
2015-02-05 04:45:00 UTC,10.4,317,H
