time,feet,centimeters,tide
2014-01-01 03:18:00 UTC,10.0,305,H
2014-01-01 09:18:00 UTC,-0.7,-21,L
2014-01-01 15:34:00 UTC,11.6,354,H
2014-01-01 21:56:00 UTC,-1.9,-58,L
2014-01-02 04:13:00 UTC,10.3,314,H
2014-01-02 10:12:00 UTC,-1.0,-30,L
2014-01-02 16:28:00 UTC,11.8,360,H
2014-01-02 22:49:00 UTC,-2.0,-61,L
2014-01-03 05:07:00 UTC,10.5,320,H
2014-01-03 11:06:00 UTC,-1.1,-34,L
2014-01-03 17:23:00 UTC,11.8,360,H
2014-01-03 23:41:00 UTC,-2.0,-61,L
2014-01-04 06:00:00 UTC,10.6,323,H
2014-01-04 12:01:00 UTC,-1.1,-34,L
2014-01-04 18:17:00 UTC,11.5,351,H
2014-01-05 00:34:00 UTC,-1.8,-55,L
2014-01-05 06:53:00 UTC,10.6,323,H
2014-01-05 12:56:00 UTC,-1.0,-30,L
2014-01-05 19:12:00 UTC,11.1,338,H
2014-01-06 01:27:00 UTC,-1.4,-43,L
2014-01-06 07:48:00 UTC,10.5,320,H
2014-01-06 13:53:00 UTC,-0.7,-21,L
2014-01-06 20:09:00 UTC,10.5,320,H
2014-01-07 02:21:00 UTC,-1.0,-30,L
2014-01-07 08:43:00 UTC,10.3,314,H
2014-01-07 14:52:00 UTC,-0.4,-12,L
2014-01-07 21:06:00 UTC,10.0,305,H
2014-01-08 03:16:00 UTC,-0.4,-12,L
2014-01-08 09:38:00 UTC,10.1,308,H
2014-01-08 15:52:00 UTC,-0.1,-3,L
2014-01-08 22:05:00 UTC,9.4,287,H
2014-01-09 04:12:00 UTC,0.1,3,L
2014-01-09 10:35:00 UTC,9.9,302,H
2014-01-09 16:53:00 UTC,0.2,6,L
2014-01-09 23:06:00 UTC,8.9,271,H
2014-01-10 05:10:00 UTC,0.5,15,L
2014-01-10 11:32:00 UTC,9.7,296,H
2014-01-10 17:55:00 UTC,0.3,9,L
2014-01-11 00:08:00 UTC,8.6,262,H
2014-01-11 06:08:00 UTC,0.8,24,L
2014-01-11 12:30:00 UTC,9.6,293,H
2014-01-11 18:55:00 UTC,0.3,9,L
2014-01-12 01:08:00 UTC,8.5,259,H
2014-01-12 07:03:00 UTC,1.0,30,L
2014-01-12 13:24:00 UTC,9.6,293,H
2014-01-12 19:50:00 UTC,0.2,6,L
2014-01-13 02:02:00 UTC,8.5,259,H
2014-01-13 07:55:00 UTC,1.0,30,L
2014-01-13 14:13:00 UTC,9.6,293,H
2014-01-13 20:39:00 UTC,0.2,6,L
2014-01-14 02:51:00 UTC,8.5,259,H
2014-01-14 08:42:00 UTC,1.0,30,L
2014-01-14 14:59:00 UTC,9.6,293,H
2014-01-14 21:23:00 UTC,0.1,3,L
2014-01-15 03:35:00 UTC,8.6,262,H
2014-01-15 09:26:00 UTC,0.9,27,L
2014-01-15 15:41:00 UTC,9.7,296,H
2014-01-15 22:04:00 UTC,0.1,3,L
2014-01-16 04:15:00 UTC,8.7,265,H
2014-01-16 10:08:00 UTC,0.8,24,L
2014-01-16 16:21:00 UTC,9.7,296,H
2014-01-16 22:41:00 UTC,0.0,0,L
2014-01-17 04:53:00 UTC,8.8,268,H
2014-01-17 10:47:00 UTC,0.8,24,L
2014-01-17 17:00:00 UTC,9.7,296,H
2014-01-17 23:17:00 UTC,0.0,0,L
2014-01-18 05:30:00 UTC,8.9,271,H
2014-01-18 11:26:00 UTC,0.7,21,L
2014-01-18 17:39:00 UTC,9.6,293,H
2014-01-18 23:53:00 UTC,0.1,3,L
2014-01-19 06:07:00 UTC,8.9,271,H
2014-01-19 12:04:00 UTC,0.7,21,L
2014-01-19 18:18:00 UTC,9.5,290,H
2014-01-20 00:30:00 UTC,0.1,3,L
2014-01-20 06:45:00 UTC,9.0,274,H
2014-01-20 12:44:00 UTC,0.7,21,L
2014-01-20 18:58:00 UTC,9.4,287,H
2014-01-21 01:08:00 UTC,0.2,6,L
2014-01-21 07:24:00 UTC,9.1,277,H
2014-01-21 13:26:00 UTC,0.6,18,L
2014-01-21 19:40:00 UTC,9.2,280,H
2014-01-22 01:48:00 UTC,0.3,9,L
2014-01-22 08:05:00 UTC,9.3,283,H
2014-01-22 14:11:00 UTC,0.5,15,L
2014-01-22 20:25:00 UTC,9.0,274,H
2014-01-23 02:32:00 UTC,0.4,12,L
2014-01-23 08:50:00 UTC,9.4,287,H
2014-01-23 15:00:00 UTC,0.5,15,L
2014-01-23 21:13:00 UTC,8.9,271,H
2014-01-24 03:19:00 UTC,0.4,12,L
2014-01-24 09:37:00 UTC,9.6,293,H
2014-01-24 15:53:00 UTC,0.3,9,L
2014-01-24 22:06:00 UTC,8.8,268,H
2014-01-25 04:11:00 UTC,0.4,12,L
2014-01-25 10:30:00 UTC,9.8,299,H
2014-01-25 16:49:00 UTC,0.1,3,L
2014-01-25 23:03:00 UTC,8.8,268,H
2014-01-26 05:07:00 UTC,0.4,12,L
2014-01-26 11:26:00 UTC,10.1,308,H
2014-01-26 17:48:00 UTC,-0.2,-6,L
2014-01-27 00:03:00 UTC,8.9,271,H
2014-01-27 06:05:00 UTC,0.2,6,L
2014-01-27 12:24:00 UTC,10.4,317,H
2014-01-27 18:48:00 UTC,-0.6,-18,L
2014-01-28 01:03:00 UTC,9.2,280,H
2014-01-28 07:05:00 UTC,-0.1,-3,L
2014-01-28 13:23:00 UTC,10.9,332,H
2014-01-28 19:47:00 UTC,-1.0,-30,L
2014-01-29 02:02:00 UTC,9.6,293,H
2014-01-29 08:03:00 UTC,-0.5,-15,L
2014-01-29 14:20:00 UTC,11.3,344,H
2014-01-29 20:43:00 UTC,-1.5,-46,L
2014-01-30 02:58:00 UTC,10.0,305,H
2014-01-30 09:00:00 UTC,-0.9,-27,L
