date,day,time,inches,centimeters,tide
2013/12/31,Tue,12:25 AM,11.5,351,H
2013/12/31,Tue,06:17 AM,3.1,94,L
2013/12/31,Tue,11:53 AM,15.2,463,H
2013/12/31,Tue,07:08 PM,-2.6,-79,L
2014/01/01,Wed,01:14 AM,12.5,381,H
2014/01/01,Wed,07:08 AM,2.3,70,L
2014/01/01,Wed,12:45 PM,15.7,479,H
2014/01/01,Wed,07:53 PM,-3.2,-98,L
2014/01/02,Thu,02:00 AM,13.1,399,H
2014/01/02,Thu,07:57 AM,1.8,55,L
2014/01/02,Thu,01:34 PM,15.7,479,H
2014/01/02,Thu,08:37 PM,-3.4,-104,L
2014/01/03,Fri,02:44 AM,13.5,411,H
2014/01/03,Fri,08:46 AM,1.5,46,L
2014/01/03,Fri,02:23 PM,15.3,466,H
2014/01/03,Fri,09:22 PM,-3.0,-91,L
2014/01/04,Sat,03:28 AM,13.6,415,H
2014/01/04,Sat,09:37 AM,1.5,46,L
2014/01/04,Sat,03:11 PM,14.4,439,H
2014/01/04,Sat,10:07 PM,-2.2,-67,L
2014/01/05,Sun,04:14 AM,13.5,411,H
2014/01/05,Sun,10:30 AM,1.7,52,L
2014/01/05,Sun,04:02 PM,13.1,399,H
2014/01/05,Sun,10:53 PM,-1.0,-30,L
2014/01/06,Mon,05:02 AM,13.2,402,H
2014/01/06,Mon,11:25 AM,2.0,61,L
2014/01/06,Mon,05:00 PM,11.7,357,H
2014/01/06,Mon,11:40 PM,0.4,12,L
2014/01/07,Tue,05:56 AM,12.8,390,H
2014/01/07,Tue,12:24 PM,2.4,73,L
2014/01/07,Tue,06:10 PM,10.3,314,H
2014/01/08,Wed,12:30 AM,1.9,58,L
2014/01/08,Wed,06:54 AM,12.5,381,H
2014/01/08,Wed,01:30 PM,2.7,82,L
2014/01/08,Wed,07:33 PM,9.4,287,H
2014/01/09,Thu,01:25 AM,3.3,101,L
2014/01/09,Thu,07:54 AM,12.3,375,H
2014/01/09,Thu,02:49 PM,2.7,82,L
2014/01/09,Thu,08:54 PM,9.0,274,H
2014/01/10,Fri,02:31 AM,4.3,131,L
2014/01/10,Fri,08:52 AM,12.3,375,H
2014/01/10,Fri,04:11 PM,2.2,67,L
2014/01/10,Fri,10:08 PM,9.2,280,H
2014/01/11,Sat,03:47 AM,4.8,146,L
2014/01/11,Sat,09:46 AM,12.4,378,H
2014/01/11,Sat,05:13 PM,1.4,43,L
2014/01/11,Sat,11:13 PM,9.7,296,H
2014/01/12,Sun,04:55 AM,4.8,146,L
2014/01/12,Sun,10:35 AM,12.7,387,H
2014/01/12,Sun,05:59 PM,0.7,21,L
2014/01/13,Mon,12:05 AM,10.2,311,H
2014/01/13,Mon,05:47 AM,4.5,137,L
2014/01/13,Mon,11:20 AM,12.9,393,H
2014/01/13,Mon,06:36 PM,0.1,3,L
2014/01/14,Tue,12:46 AM,10.7,326,H
2014/01/14,Tue,06:29 AM,4.1,125,L
2014/01/14,Tue,12:01 PM,13.1,399,H
2014/01/14,Tue,07:10 PM,-0.4,-12,L
2014/01/15,Wed,01:20 AM,11.1,338,H
2014/01/15,Wed,07:07 AM,3.7,113,L
2014/01/15,Wed,12:39 PM,13.3,405,H
2014/01/15,Wed,07:43 PM,-0.7,-21,L
2014/01/16,Thu,01:50 AM,11.5,351,H
2014/01/16,Thu,07:43 AM,3.3,101,L
2014/01/16,Thu,01:15 PM,13.4,408,H
2014/01/16,Thu,08:14 PM,-0.9,-27,L
2014/01/17,Fri,02:19 AM,11.8,360,H
2014/01/17,Fri,08:19 AM,3.0,91,L
2014/01/17,Fri,01:49 PM,13.2,402,H
2014/01/17,Fri,08:46 PM,-0.8,-24,L
2014/01/18,Sat,02:47 AM,11.9,363,H
2014/01/18,Sat,08:55 AM,2.9,88,L
2014/01/18,Sat,02:21 PM,12.9,393,H
2014/01/18,Sat,09:18 PM,-0.6,-18,L
2014/01/19,Sun,03:15 AM,12.0,366,H
2014/01/19,Sun,09:32 AM,2.8,85,L
2014/01/19,Sun,02:53 PM,12.4,378,H
2014/01/19,Sun,09:51 PM,-0.1,-3,L
2014/01/20,Mon,03:44 AM,12.0,366,H
2014/01/20,Mon,10:11 AM,2.8,85,L
2014/01/20,Mon,03:27 PM,11.7,357,H
2014/01/20,Mon,10:25 PM,0.6,18,L
2014/01/21,Tue,04:14 AM,11.9,363,H
2014/01/21,Tue,10:53 AM,2.9,88,L
2014/01/21,Tue,04:04 PM,10.9,332,H
2014/01/21,Tue,11:00 PM,1.4,43,L
2014/01/22,Wed,04:48 AM,11.8,360,H
2014/01/22,Wed,11:39 AM,3.0,91,L
2014/01/22,Wed,04:52 PM,9.9,302,H
2014/01/22,Wed,11:39 PM,2.3,70,L
2014/01/23,Thu,05:32 AM,11.7,357,H
2014/01/23,Thu,12:33 PM,3.0,91,L
2014/01/23,Thu,06:02 PM,9.0,274,H
2014/01/24,Fri,12:25 AM,3.3,101,L
2014/01/24,Fri,06:30 AM,11.7,357,H
2014/01/24,Fri,01:37 PM,2.9,88,L
2014/01/24,Fri,07:37 PM,8.6,262,H
2014/01/25,Sat,01:23 AM,4.1,125,L
2014/01/25,Sat,07:39 AM,12.0,366,H
2014/01/25,Sat,02:55 PM,2.4,73,L
2014/01/25,Sat,09:02 PM,8.8,268,H
2014/01/26,Sun,02:37 AM,4.7,143,L
2014/01/26,Sun,08:46 AM,12.5,381,H
2014/01/26,Sun,04:12 PM,1.3,40,L
2014/01/26,Sun,10:14 PM,9.5,290,H
2014/01/27,Mon,03:58 AM,4.5,137,L
2014/01/27,Mon,09:49 AM,13.3,405,H
