time,feet,centimeters,tide
2014-01-01 02:40:00 UTC,-1.5,-46,L
2014-01-01 08:58:00 UTC,8.3,253,H
2014-01-01 14:38:00 UTC,2.4,73,L
2014-01-01 19:57:00 UTC,10.5,320,H
2014-01-02 03:27:00 UTC,-1.7,-52,L
2014-01-02 09:47:00 UTC,8.6,262,H
2014-01-02 15:30:00 UTC,2.1,64,L
2014-01-02 20:49:00 UTC,10.4,317,H
2014-01-03 04:13:00 UTC,-1.6,-49,L
2014-01-03 10:34:00 UTC,8.7,265,H
2014-01-03 16:21:00 UTC,1.9,58,L
2014-01-03 21:41:00 UTC,10.1,308,H
2014-01-04 04:57:00 UTC,-1.3,-40,L
2014-01-04 11:19:00 UTC,8.9,271,H
2014-01-04 17:13:00 UTC,1.8,55,L
2014-01-04 22:36:00 UTC,9.6,293,H
2014-01-05 05:41:00 UTC,-0.8,-24,L
2014-01-05 12:05:00 UTC,9.0,274,H
2014-01-05 18:06:00 UTC,1.8,55,L
2014-01-05 23:34:00 UTC,8.9,271,H
2014-01-06 06:26:00 UTC,-0.1,-3,L
2014-01-06 12:51:00 UTC,9.1,277,H
2014-01-06 19:03:00 UTC,1.7,52,L
2014-01-07 00:39:00 UTC,8.2,250,H
2014-01-07 07:14:00 UTC,0.7,21,L
2014-01-07 13:39:00 UTC,9.1,277,H
2014-01-07 20:05:00 UTC,1.6,49,L
2014-01-08 01:48:00 UTC,7.6,232,H
2014-01-08 08:05:00 UTC,1.4,43,L
2014-01-08 14:28:00 UTC,9.1,277,H
2014-01-08 21:12:00 UTC,1.4,43,L
2014-01-09 03:01:00 UTC,7.2,219,H
2014-01-09 09:00:00 UTC,2.0,61,L
2014-01-09 15:18:00 UTC,9.2,280,H
2014-01-09 22:19:00 UTC,1.0,30,L
2014-01-10 04:10:00 UTC,7.2,219,H
2014-01-10 09:57:00 UTC,2.5,76,L
2014-01-10 16:08:00 UTC,9.3,283,H
2014-01-10 23:21:00 UTC,0.5,15,L
2014-01-11 05:14:00 UTC,7.3,223,H
2014-01-11 10:53:00 UTC,2.8,85,L
2014-01-11 16:56:00 UTC,9.3,283,H
2014-01-12 00:15:00 UTC,0.1,3,L
2014-01-12 06:11:00 UTC,7.6,232,H
2014-01-12 11:47:00 UTC,2.9,88,L
2014-01-12 17:41:00 UTC,9.4,287,H
2014-01-13 01:02:00 UTC,-0.2,-6,L
2014-01-13 07:02:00 UTC,7.8,238,H
2014-01-13 12:37:00 UTC,2.9,88,L
2014-01-13 18:23:00 UTC,9.3,283,H
2014-01-14 01:45:00 UTC,-0.3,-9,L
2014-01-14 07:48:00 UTC,8.0,244,H
2014-01-14 13:24:00 UTC,2.8,85,L
2014-01-14 19:03:00 UTC,9.3,283,H
2014-01-15 02:23:00 UTC,-0.3,-9,L
2014-01-15 08:30:00 UTC,8.1,247,H
2014-01-15 14:09:00 UTC,2.8,85,L
2014-01-15 19:41:00 UTC,9.2,280,H
2014-01-16 02:59:00 UTC,-0.2,-6,L
2014-01-16 09:09:00 UTC,8.1,247,H
2014-01-16 14:51:00 UTC,2.7,82,L
2014-01-16 20:17:00 UTC,9.1,277,H
2014-01-17 03:32:00 UTC,0.0,0,L
2014-01-17 09:43:00 UTC,8.1,247,H
2014-01-17 15:32:00 UTC,2.7,82,L
2014-01-17 20:52:00 UTC,9.0,274,H
2014-01-18 04:05:00 UTC,0.1,3,L
2014-01-18 10:13:00 UTC,8.1,247,H
2014-01-18 16:11:00 UTC,2.6,79,L
2014-01-18 21:27:00 UTC,8.8,268,H
2014-01-19 04:36:00 UTC,0.3,9,L
2014-01-19 10:41:00 UTC,8.1,247,H
2014-01-19 16:50:00 UTC,2.6,79,L
2014-01-19 22:04:00 UTC,8.5,259,H
2014-01-20 05:08:00 UTC,0.6,18,L
2014-01-20 11:07:00 UTC,8.2,250,H
2014-01-20 17:30:00 UTC,2.6,79,L
2014-01-20 22:45:00 UTC,8.2,250,H
2014-01-21 05:41:00 UTC,1.0,30,L
2014-01-21 11:37:00 UTC,8.4,256,H
2014-01-21 18:14:00 UTC,2.5,76,L
2014-01-21 23:36:00 UTC,7.7,235,H
2014-01-22 06:20:00 UTC,1.5,46,L
2014-01-22 12:13:00 UTC,8.5,259,H
2014-01-22 19:08:00 UTC,2.5,76,L
2014-01-23 00:41:00 UTC,7.1,216,H
2014-01-23 07:07:00 UTC,2.1,64,L
2014-01-23 12:59:00 UTC,8.6,262,H
2014-01-23 20:13:00 UTC,2.3,70,L
2014-01-24 02:04:00 UTC,6.7,204,H
2014-01-24 08:07:00 UTC,2.6,79,L
2014-01-24 13:54:00 UTC,8.8,268,H
2014-01-24 21:25:00 UTC,1.9,58,L
2014-01-25 03:30:00 UTC,6.6,201,H
2014-01-25 09:17:00 UTC,3.0,91,L
2014-01-25 14:56:00 UTC,9.0,274,H
2014-01-25 22:35:00 UTC,1.2,37,L
2014-01-26 04:49:00 UTC,6.9,210,H
2014-01-26 10:25:00 UTC,3.1,94,L
2014-01-26 15:59:00 UTC,9.3,283,H
2014-01-26 23:39:00 UTC,0.4,12,L
2014-01-27 05:56:00 UTC,7.3,223,H
2014-01-27 11:30:00 UTC,3.0,91,L
2014-01-27 17:00:00 UTC,9.7,296,H
2014-01-28 00:37:00 UTC,-0.3,-9,L
2014-01-28 06:54:00 UTC,7.8,238,H
2014-01-28 12:30:00 UTC,2.7,82,L
2014-01-28 17:59:00 UTC,10.0,305,H
2014-01-29 01:30:00 UTC,-0.9,-27,L
2014-01-29 07:46:00 UTC,8.2,250,H
2014-01-29 13:27:00 UTC,2.3,70,L
2014-01-29 18:55:00 UTC,10.3,314,H
2014-01-30 02:19:00 UTC,-1.3,-40,L
2014-01-30 08:34:00 UTC,8.6,262,H
2014-01-30 14:21:00 UTC,1.8,55,L
2014-01-30 19:49:00 UTC,10.4,317,H
2014-01-31 03:06:00 UTC,-1.4,-43,L
2014-01-31 09:18:00 UTC,8.9,271,H
2014-01-31 15:13:00 UTC,1.5,46,L
2014-01-31 20:41:00 UTC,10.3,314,H
2014-02-01 03:49:00 UTC,-1.3,-40,L
2014-02-01 10:01:00 UTC,9.2,280,H
2014-02-01 16:04:00 UTC,1.2,37,L
2014-02-01 21:34:00 UTC,10.0,305,H
2014-02-02 04:32:00 UTC,-0.9,-27,L
2014-02-02 10:42:00 UTC,9.3,283,H
2014-02-02 16:54:00 UTC,1.0,30,L
2014-02-02 22:27:00 UTC,9.5,290,H
2014-02-03 05:13:00 UTC,-0.3,-9,L
2014-02-03 11:22:00 UTC,9.3,283,H
2014-02-03 17:44:00 UTC,1.0,30,L
2014-02-03 23:23:00 UTC,8.8,268,H
2014-02-04 05:55:00 UTC,0.4,12,L
2014-02-04 12:03:00 UTC,9.2,280,H
