time,feet,centimeters,tide
2013-12-31 02:10:00 UTC,8.7,265,H
2013-12-31 08:02:00 UTC,-0.2,-6,L
2013-12-31 14:23:00 UTC,10.4,317,H
2013-12-31 20:47:00 UTC,-1.3,-40,L
2014-01-01 03:06:00 UTC,9.2,280,H
2014-01-01 08:59:00 UTC,-0.6,-18,L
2014-01-01 15:19:00 UTC,10.8,329,H
2014-01-01 21:41:00 UTC,-1.7,-52,L
2014-01-02 03:59:00 UTC,9.5,290,H
2014-01-02 09:52:00 UTC,-0.9,-27,L
2014-01-02 16:11:00 UTC,10.9,332,H
2014-01-02 22:32:00 UTC,-1.9,-58,L
2014-01-03 04:51:00 UTC,9.7,296,H
2014-01-03 10:46:00 UTC,-1.0,-30,L
2014-01-03 17:05:00 UTC,10.9,332,H
2014-01-03 23:24:00 UTC,-1.9,-58,L
2014-01-04 05:44:00 UTC,9.8,299,H
2014-01-04 11:40:00 UTC,-1.0,-30,L
2014-01-04 17:59:00 UTC,10.6,323,H
2014-01-05 00:16:00 UTC,-1.7,-52,L
2014-01-05 06:38:00 UTC,9.7,296,H
2014-01-05 12:37:00 UTC,-0.8,-24,L
2014-01-05 18:55:00 UTC,10.2,311,H
2014-01-06 01:10:00 UTC,-1.3,-40,L
2014-01-06 07:33:00 UTC,9.6,293,H
2014-01-06 13:36:00 UTC,-0.5,-15,L
2014-01-06 19:54:00 UTC,9.6,293,H
2014-01-07 02:06:00 UTC,-0.8,-24,L
2014-01-07 08:31:00 UTC,9.4,287,H
2014-01-07 14:37:00 UTC,-0.1,-3,L
2014-01-07 20:55:00 UTC,9.0,274,H
2014-01-08 03:04:00 UTC,-0.2,-6,L
2014-01-08 09:30:00 UTC,9.1,277,H
2014-01-08 15:42:00 UTC,0.1,3,L
2014-01-08 21:59:00 UTC,8.5,259,H
2014-01-09 04:04:00 UTC,0.2,6,L
2014-01-09 10:31:00 UTC,8.9,271,H
2014-01-09 16:48:00 UTC,0.3,9,L
