time,feet,centimeters,tide
2014-12-31 04:57:00 UTC,-0.1,-3,L
2014-12-31 11:07:00 UTC,2.9,88,H
2014-12-31 17:49:00 UTC,-0.1,-3,L
2014-12-31 23:28:00 UTC,2.2,67,H
2015-01-01 05:55:00 UTC,0.0,0,L
2015-01-01 12:01:00 UTC,2.9,88,H
2015-01-01 18:46:00 UTC,-0.2,-6,L
2015-01-02 00:21:00 UTC,2.2,67,H
2015-01-02 06:49:00 UTC,0.0,0,L
2015-01-02 12:49:00 UTC,3.0,91,H
2015-01-02 19:37:00 UTC,-0.2,-6,L
2015-01-03 01:08:00 UTC,2.3,70,H
2015-01-03 07:39:00 UTC,0.0,0,L
2015-01-03 13:33:00 UTC,3.0,91,H
2015-01-03 20:24:00 UTC,-0.3,-9,L
2015-01-04 01:53:00 UTC,2.3,70,H
2015-01-04 08:26:00 UTC,0.0,0,L
2015-01-04 14:16:00 UTC,2.9,88,H
2015-01-04 21:07:00 UTC,-0.3,-9,L
2015-01-05 02:37:00 UTC,2.3,70,H
2015-01-05 09:10:00 UTC,0.0,0,L
2015-01-05 14:59:00 UTC,2.9,88,H
2015-01-05 21:47:00 UTC,-0.2,-6,L
2015-01-06 03:21:00 UTC,2.4,73,H
2015-01-06 09:51:00 UTC,0.0,0,L
2015-01-06 15:43:00 UTC,2.8,85,H
2015-01-06 22:27:00 UTC,-0.2,-6,L
2015-01-07 04:06:00 UTC,2.4,73,H
2015-01-07 10:33:00 UTC,0.1,3,L
2015-01-07 16:26:00 UTC,2.7,82,H
2015-01-07 23:07:00 UTC,-0.1,-3,L
2015-01-08 04:52:00 UTC,2.4,73,H
2015-01-08 11:16:00 UTC,0.2,6,L
2015-01-08 17:10:00 UTC,2.6,79,H
2015-01-08 23:47:00 UTC,0.0,0,L
2015-01-09 05:38:00 UTC,2.4,73,H
2015-01-09 12:01:00 UTC,0.2,6,L
2015-01-09 17:54:00 UTC,2.4,73,H
2015-01-10 00:29:00 UTC,0.1,3,L
2015-01-10 06:25:00 UTC,2.4,73,H
2015-01-10 12:51:00 UTC,0.3,9,L
2015-01-10 18:40:00 UTC,2.3,70,H
2015-01-11 01:14:00 UTC,0.1,3,L
2015-01-11 07:14:00 UTC,2.4,73,H
2015-01-11 13:43:00 UTC,0.3,9,L
2015-01-11 19:27:00 UTC,2.1,64,H
2015-01-12 02:00:00 UTC,0.2,6,L
2015-01-12 08:05:00 UTC,2.4,73,H
2015-01-12 14:37:00 UTC,0.4,12,L
2015-01-12 20:20:00 UTC,2.0,61,H
2015-01-13 02:48:00 UTC,0.3,9,L
2015-01-13 08:59:00 UTC,2.4,73,H
2015-01-13 15:31:00 UTC,0.3,9,L
2015-01-13 21:17:00 UTC,1.9,58,H
2015-01-14 03:37:00 UTC,0.3,9,L
2015-01-14 09:54:00 UTC,2.4,73,H
2015-01-14 16:25:00 UTC,0.3,9,L
2015-01-14 22:16:00 UTC,1.9,58,H
2015-01-15 04:27:00 UTC,0.3,9,L
2015-01-15 10:47:00 UTC,2.5,76,H
2015-01-15 17:18:00 UTC,0.2,6,L
2015-01-15 23:09:00 UTC,1.9,58,H
2015-01-16 05:19:00 UTC,0.2,6,L
