time,feet,centimeters,tide
2013-12-31 06:05:00 UTC,3.9,119,H
2013-12-31 10:23:00 UTC,2.3,70,L
2013-12-31 16:49:00 UTC,6.7,204,H
2014-01-01 00:03:00 UTC,-1.4,-43,L
2014-01-01 06:49:00 UTC,4.2,128,H
2014-01-01 11:20:00 UTC,2.2,67,L
2014-01-01 17:38:00 UTC,6.8,207,H
2014-01-02 00:47:00 UTC,-1.5,-46,L
2014-01-02 07:34:00 UTC,4.4,134,H
2014-01-02 12:15:00 UTC,2.1,64,L
2014-01-02 18:28:00 UTC,6.6,201,H
2014-01-03 01:32:00 UTC,-1.4,-43,L
2014-01-03 08:20:00 UTC,4.6,140,H
2014-01-03 13:12:00 UTC,2.1,64,L
2014-01-03 19:19:00 UTC,6.3,192,H
2014-01-04 02:17:00 UTC,-1.1,-34,L
2014-01-04 09:07:00 UTC,4.8,146,H
2014-01-04 14:14:00 UTC,2.0,61,L
2014-01-04 20:13:00 UTC,5.7,174,H
2014-01-05 03:03:00 UTC,-0.7,-21,L
2014-01-05 09:56:00 UTC,5.0,152,H
2014-01-05 15:23:00 UTC,1.9,58,L
2014-01-05 21:12:00 UTC,5.0,152,H
2014-01-06 03:49:00 UTC,-0.1,-3,L
2014-01-06 10:47:00 UTC,5.1,155,H
2014-01-06 16:39:00 UTC,1.8,55,L
2014-01-06 22:20:00 UTC,4.3,131,H
2014-01-07 04:38:00 UTC,0.5,15,L
2014-01-07 11:39:00 UTC,5.3,162,H
2014-01-07 18:02:00 UTC,1.5,46,L
2014-01-07 23:42:00 UTC,3.7,113,H
2014-01-08 05:30:00 UTC,1.1,34,L
2014-01-08 12:32:00 UTC,5.4,165,H
2014-01-08 19:23:00 UTC,1.1,34,L
2014-01-09 01:16:00 UTC,3.3,101,H
2014-01-09 06:25:00 UTC,1.6,49,L
2014-01-09 13:25:00 UTC,5.5,168,H
2014-01-09 20:33:00 UTC,0.7,21,L
2014-01-10 02:50:00 UTC,3.3,101,H
2014-01-10 07:24:00 UTC,2.0,61,L
2014-01-10 14:14:00 UTC,5.6,171,H
2014-01-10 21:31:00 UTC,0.3,9,L
2014-01-11 04:06:00 UTC,3.4,104,H
2014-01-11 08:23:00 UTC,2.3,70,L
2014-01-11 15:00:00 UTC,5.6,171,H
2014-01-11 22:19:00 UTC,0.0,0,L
2014-01-12 05:05:00 UTC,3.6,110,H
2014-01-12 09:16:00 UTC,2.5,76,L
