time,feet,centimeters,tide
2013-12-31 04:03:00 UTC,2.0,61,H
2013-12-31 12:19:00 UTC,-0.5,-15,L
2014-01-01 04:35:00 UTC,2.0,61,H
2014-01-01 12:42:00 UTC,-0.5,-15,L
2014-01-01 18:30:00 UTC,0.1,3,H
2014-01-01 21:03:00 UTC,0.1,3,L
2014-01-02 05:07:00 UTC,2.0,61,H
2014-01-02 13:11:00 UTC,-0.4,-12,L
2014-01-02 18:49:00 UTC,0.2,6,H
2014-01-02 21:31:00 UTC,0.1,3,L
2014-01-03 05:37:00 UTC,2.0,61,H
2014-01-03 13:36:00 UTC,-0.3,-9,L
2014-01-03 19:07:00 UTC,0.2,6,H
2014-01-03 21:55:00 UTC,0.1,3,L
2014-01-04 06:02:00 UTC,1.8,55,H
2014-01-04 13:56:00 UTC,-0.1,-3,L
2014-01-04 19:25:00 UTC,0.3,9,H
2014-01-04 22:13:00 UTC,0.2,6,L
2014-01-05 06:20:00 UTC,1.6,49,H
2014-01-05 14:05:00 UTC,0.0,0,L
2014-01-05 19:45:00 UTC,0.4,12,H
2014-01-05 22:19:00 UTC,0.3,9,L
2014-01-06 06:22:00 UTC,1.3,40,H
2014-01-06 14:02:00 UTC,0.1,3,L
2014-01-07 05:56:00 UTC,1.1,34,H
2014-01-07 13:48:00 UTC,0.1,3,L
2014-01-08 04:51:00 UTC,1.0,30,H
2014-01-08 13:27:00 UTC,0.1,3,L
2014-01-09 03:51:00 UTC,1.1,34,H
2014-01-09 13:06:00 UTC,0.0,0,L
2014-01-10 03:27:00 UTC,1.2,37,H
2014-01-10 12:48:00 UTC,-0.1,-3,L
2014-01-11 03:23:00 UTC,1.3,40,H
2014-01-11 12:32:00 UTC,-0.1,-3,L
2014-01-12 03:31:00 UTC,1.5,46,H
2014-01-12 12:20:00 UTC,-0.1,-3,L
2014-01-13 03:44:00 UTC,1.6,49,H
2014-01-13 12:14:00 UTC,-0.2,-6,L
2014-01-14 04:01:00 UTC,1.7,52,H
2014-01-14 12:14:00 UTC,-0.2,-6,L
2014-01-14 17:26:00 UTC,0.2,6,H
2014-01-14 20:03:00 UTC,0.1,3,L
2014-01-15 04:21:00 UTC,1.7,52,H
2014-01-15 12:20:00 UTC,-0.2,-6,L
2014-01-15 17:22:00 UTC,0.3,9,H
2014-01-15 20:54:00 UTC,0.1,3,L
2014-01-16 04:41:00 UTC,1.8,55,H
2014-01-16 12:29:00 UTC,-0.2,-6,L
2014-01-16 17:33:00 UTC,0.4,12,H
2014-01-16 21:33:00 UTC,0.1,3,L
2014-01-17 05:02:00 UTC,1.8,55,H
2014-01-17 12:41:00 UTC,-0.1,-3,L
2014-01-17 17:50:00 UTC,0.4,12,H
2014-01-17 22:07:00 UTC,0.1,3,L
2014-01-18 05:22:00 UTC,1.7,52,H
2014-01-18 12:54:00 UTC,-0.1,-3,L
2014-01-18 18:12:00 UTC,0.5,15,H
2014-01-18 22:39:00 UTC,0.1,3,L
2014-01-19 05:41:00 UTC,1.7,52,H
2014-01-19 13:06:00 UTC,0.0,0,L
2014-01-19 18:36:00 UTC,0.6,18,H
2014-01-19 23:10:00 UTC,0.2,6,L
2014-01-20 05:58:00 UTC,1.5,46,H
2014-01-20 13:17:00 UTC,0.0,0,L
2014-01-20 19:03:00 UTC,0.7,21,H
2014-01-20 23:40:00 UTC,0.3,9,L
2014-01-21 06:12:00 UTC,1.4,43,H
2014-01-21 13:25:00 UTC,0.1,3,L
2014-01-21 19:37:00 UTC,0.8,24,H
2014-01-22 00:11:00 UTC,0.5,15,L
2014-01-22 06:18:00 UTC,1.2,37,H
2014-01-22 13:28:00 UTC,0.1,3,L
2014-01-22 20:23:00 UTC,0.8,24,H
2014-01-23 00:43:00 UTC,0.6,18,L
2014-01-23 06:05:00 UTC,1.0,30,H
2014-01-23 13:21:00 UTC,0.1,3,L
2014-01-23 22:02:00 UTC,0.9,27,H
2014-01-24 01:26:00 UTC,0.8,24,L
2014-01-24 04:30:00 UTC,0.9,27,H
2014-01-24 12:56:00 UTC,0.1,3,L
2014-01-25 01:36:00 UTC,1.1,34,H
2014-01-25 12:14:00 UTC,0.0,0,L
2014-01-26 02:14:00 UTC,1.3,40,H
2014-01-26 11:42:00 UTC,-0.1,-3,L
2014-01-27 02:49:00 UTC,1.6,49,H
2014-01-27 11:36:00 UTC,-0.3,-9,L
2014-01-28 03:24:00 UTC,1.8,55,H
2014-01-28 11:45:00 UTC,-0.4,-12,L
2014-01-29 03:58:00 UTC,1.9,58,H
2014-01-29 12:01:00 UTC,-0.4,-12,L
2014-01-29 18:05:00 UTC,0.4,12,H
2014-01-29 21:01:00 UTC,0.3,9,L
2014-01-30 04:31:00 UTC,2.0,61,H
2014-01-30 12:18:00 UTC,-0.3,-9,L
2014-01-30 18:06:00 UTC,0.4,12,H
2014-01-30 21:45:00 UTC,0.2,6,L
2014-01-31 05:02:00 UTC,2.0,61,H
2014-01-31 12:34:00 UTC,-0.2,-6,L
2014-01-31 18:14:00 UTC,0.5,15,H
2014-01-31 22:24:00 UTC,0.2,6,L
2014-02-01 05:29:00 UTC,1.9,58,H
2014-02-01 12:46:00 UTC,-0.1,-3,L
2014-02-01 18:25:00 UTC,0.6,18,H
2014-02-01 22:59:00 UTC,0.2,6,L
2014-02-02 05:51:00 UTC,1.7,52,H
2014-02-02 12:52:00 UTC,0.0,0,L
2014-02-02 18:38:00 UTC,0.8,24,H
2014-02-02 23:31:00 UTC,0.3,9,L
2014-02-03 06:05:00 UTC,1.4,43,H
2014-02-03 12:52:00 UTC,0.1,3,L
2014-02-03 18:54:00 UTC,0.9,27,H
2014-02-03 23:58:00 UTC,0.5,15,L
2014-02-04 06:04:00 UTC,1.2,37,H
2014-02-04 12:47:00 UTC,0.1,3,L
2014-02-04 19:13:00 UTC,1.0,30,H
2014-02-05 00:16:00 UTC,0.6,18,L
2014-02-05 05:40:00 UTC,1.0,30,H
2014-02-05 12:37:00 UTC,0.1,3,L
2014-02-05 19:36:00 UTC,1.0,30,H
2014-02-06 00:17:00 UTC,0.8,24,L
2014-02-06 04:44:00 UTC,1.0,30,H
2014-02-06 12:27:00 UTC,0.0,0,L
2014-02-06 20:08:00 UTC,1.0,30,H
2014-02-06 23:47:00 UTC,0.9,27,L
2014-02-07 03:46:00 UTC,1.0,30,H
2014-02-07 12:19:00 UTC,0.0,0,L
2014-02-08 03:23:00 UTC,1.2,37,H
2014-02-08 12:12:00 UTC,-0.1,-3,L
2014-02-09 03:23:00 UTC,1.3,40,H
2014-02-09 12:05:00 UTC,-0.1,-3,L
2014-02-10 03:31:00 UTC,1.4,43,H
2014-02-10 11:56:00 UTC,-0.1,-3,L
2014-02-11 03:43:00 UTC,1.5,46,H
2014-02-11 11:49:00 UTC,-0.1,-3,L
2014-02-12 03:58:00 UTC,1.6,49,H
2014-02-12 11:45:00 UTC,0.0,0,L
2014-02-12 17:19:00 UTC,0.5,15,H
2014-02-12 20:41:00 UTC,0.4,12,L
2014-02-13 04:15:00 UTC,1.7,52,H
2014-02-13 11:45:00 UTC,0.0,0,L
2014-02-13 17:08:00 UTC,0.6,18,H
2014-02-13 21:23:00 UTC,0.3,9,L
2014-02-14 04:33:00 UTC,1.7,52,H
2014-02-14 11:50:00 UTC,0.0,0,L
2014-02-14 17:15:00 UTC,0.7,21,H
2014-02-14 21:59:00 UTC,0.2,6,L
2014-02-15 04:53:00 UTC,1.7,52,H
2014-02-15 11:58:00 UTC,0.0,0,L
2014-02-15 17:29:00 UTC,0.9,27,H
2014-02-15 22:32:00 UTC,0.2,6,L
2014-02-16 05:12:00 UTC,1.7,52,H
2014-02-16 12:08:00 UTC,0.0,0,L
2014-02-16 17:48:00 UTC,1.0,30,H
2014-02-16 23:04:00 UTC,0.2,6,L
2014-02-17 05:30:00 UTC,1.6,49,H
2014-02-17 12:17:00 UTC,0.1,3,L
2014-02-17 18:10:00 UTC,1.1,34,H
2014-02-17 23:36:00 UTC,0.3,9,L
2014-02-18 05:47:00 UTC,1.4,43,H
2014-02-18 12:25:00 UTC,0.1,3,L
2014-02-18 18:33:00 UTC,1.2,37,H
2014-02-19 00:10:00 UTC,0.4,12,L
2014-02-19 06:00:00 UTC,1.3,40,H
2014-02-19 12:28:00 UTC,0.2,6,L
2014-02-19 18:59:00 UTC,1.2,37,H
2014-02-20 00:45:00 UTC,0.5,15,L
2014-02-20 06:02:00 UTC,1.1,34,H
2014-02-20 12:24:00 UTC,0.2,6,L
2014-02-20 19:29:00 UTC,1.2,37,H
2014-02-21 01:29:00 UTC,0.7,21,L
2014-02-21 05:41:00 UTC,0.9,27,H
2014-02-21 12:11:00 UTC,0.2,6,L
2014-02-21 20:11:00 UTC,1.2,37,H
2014-02-22 11:49:00 UTC,0.1,3,L
2014-02-22 21:55:00 UTC,1.2,37,H
2014-02-23 11:25:00 UTC,0.0,0,L
2014-02-24 01:44:00 UTC,1.4,43,H
2014-02-24 11:12:00 UTC,-0.1,-3,L
2014-02-25 02:36:00 UTC,1.6,49,H
2014-02-25 11:11:00 UTC,-0.2,-6,L
2014-02-26 03:15:00 UTC,1.8,55,H
2014-02-26 11:17:00 UTC,-0.2,-6,L
2014-02-26 17:43:00 UTC,0.7,21,H
2014-02-26 20:53:00 UTC,0.6,18,L
2014-02-27 03:49:00 UTC,1.9,58,H
2014-02-27 11:26:00 UTC,-0.1,-3,L
2014-02-27 17:27:00 UTC,0.8,24,H
2014-02-27 21:38:00 UTC,0.4,12,L
2014-02-28 04:21:00 UTC,1.9,58,H
2014-02-28 11:34:00 UTC,0.0,0,L
2014-02-28 17:26:00 UTC,0.9,27,H
2014-02-28 22:18:00 UTC,0.3,9,L
2014-03-01 04:50:00 UTC,1.8,55,H
2014-03-01 11:41:00 UTC,0.1,3,L
2014-03-01 17:33:00 UTC,1.0,30,H
2014-03-01 22:55:00 UTC,0.3,9,L
2014-03-02 05:14:00 UTC,1.6,49,H
2014-03-02 11:46:00 UTC,0.1,3,L
2014-03-02 17:45:00 UTC,1.2,37,H
2014-03-02 23:30:00 UTC,0.3,9,L
2014-03-03 05:34:00 UTC,1.4,43,H
2014-03-03 11:48:00 UTC,0.2,6,L
2014-03-03 18:00:00 UTC,1.3,40,H
2014-03-04 00:03:00 UTC,0.4,12,L
2014-03-04 05:46:00 UTC,1.2,37,H
2014-03-04 11:48:00 UTC,0.2,6,L
2014-03-04 18:17:00 UTC,1.4,43,H
2014-03-05 00:33:00 UTC,0.5,15,L
2014-03-05 05:45:00 UTC,1.0,30,H
2014-03-05 11:45:00 UTC,0.2,6,L
2014-03-05 18:34:00 UTC,1.4,43,H
2014-03-06 00:58:00 UTC,0.7,21,L
2014-03-06 05:23:00 UTC,0.9,27,H
2014-03-06 11:41:00 UTC,0.1,3,L
2014-03-06 18:51:00 UTC,1.4,43,H
2014-03-07 01:14:00 UTC,0.8,24,L
2014-03-07 04:31:00 UTC,0.9,27,H
2014-03-07 11:37:00 UTC,0.1,3,L
2014-03-07 19:10:00 UTC,1.4,43,H
2014-03-08 01:08:00 UTC,0.9,27,L
2014-03-08 03:29:00 UTC,1.0,30,H
2014-03-08 11:33:00 UTC,0.1,3,L
2014-03-08 19:30:00 UTC,1.3,40,H
2014-03-09 00:21:00 UTC,1.1,34,L
2014-03-09 03:05:00 UTC,1.1,34,H
2014-03-09 11:29:00 UTC,0.1,3,L
2014-03-09 19:55:00 UTC,1.2,37,H
2014-03-09 23:05:00 UTC,1.1,34,L
2014-03-10 03:07:00 UTC,1.2,37,H
2014-03-10 11:23:00 UTC,0.1,3,L
