date,day,time,inches,centimeters,tide
2013/12/31,Tue,02:56 AM,7.2,219,H
2013/12/31,Tue,07:13 AM,6.2,189,L
2013/12/31,Tue,12:07 PM,7.4,226,H
2013/12/31,Tue,07:45 PM,-2.4,-73,L
2014/01/01,Wed,03:32 AM,7.5,229,H
2014/01/01,Wed,08:10 AM,5.9,180,L
2014/01/01,Wed,01:05 PM,7.3,223,H
2014/01/01,Wed,08:31 PM,-2.5,-76,L
2014/01/02,Thu,04:10 AM,7.8,238,H
2014/01/02,Thu,09:05 AM,5.6,171,L
2014/01/02,Thu,02:02 PM,7.1,216,H
2014/01/02,Thu,09:17 PM,-2.2,-67,L
2014/01/03,Fri,04:49 AM,7.9,241,H
2014/01/03,Fri,10:03 AM,5.2,158,L
2014/01/03,Fri,03:01 PM,6.7,204,H
2014/01/03,Fri,10:04 PM,-1.7,-52,L
2014/01/04,Sat,05:28 AM,8.0,244,H
2014/01/04,Sat,11:05 AM,4.6,140,L
2014/01/04,Sat,04:04 PM,6.2,189,H
2014/01/04,Sat,10:51 PM,-0.8,-24,L
2014/01/05,Sun,06:07 AM,8.0,244,H
2014/01/05,Sun,12:12 PM,3.9,119,L
2014/01/05,Sun,05:12 PM,5.6,171,H
2014/01/05,Sun,11:38 PM,0.4,12,L
2014/01/06,Mon,06:45 AM,7.9,241,H
2014/01/06,Mon,01:23 PM,3.2,98,L
2014/01/06,Mon,06:30 PM,5.0,152,H
2014/01/07,Tue,12:28 AM,1.7,52,L
2014/01/07,Tue,07:24 AM,7.8,238,H
2014/01/07,Tue,02:34 PM,2.4,73,L
2014/01/07,Tue,08:07 PM,4.6,140,H
2014/01/08,Wed,01:21 AM,3.0,91,L
2014/01/08,Wed,08:03 AM,7.6,232,H
2014/01/08,Wed,03:39 PM,1.7,52,L
2014/01/08,Wed,10:14 PM,4.8,146,H
2014/01/09,Thu,02:23 AM,4.2,128,L
2014/01/09,Thu,08:43 AM,7.3,223,H
2014/01/09,Thu,04:36 PM,1.0,30,L
2014/01/09,Thu,11:55 PM,5.4,165,H
2014/01/10,Fri,03:36 AM,5.2,158,L
2014/01/10,Fri,09:24 AM,7.1,216,H
2014/01/10,Fri,05:25 PM,0.5,15,L
2014/01/11,Sat,01:03 AM,6.1,186,H
2014/01/11,Sat,04:56 AM,5.8,177,L
2014/01/11,Sat,10:07 AM,6.9,210,H
2014/01/11,Sat,06:06 PM,0.1,3,L
2014/01/12,Sun,01:53 AM,6.7,204,H
2014/01/12,Sun,06:10 AM,6.1,186,L
2014/01/12,Sun,10:50 AM,6.7,204,H
2014/01/12,Sun,06:43 PM,-0.2,-6,L
2014/01/13,Mon,02:34 AM,7.0,213,H
2014/01/13,Mon,07:11 AM,6.1,186,L
