time,feet,centimeters,tide
2014-12-31 03:23:00 UTC,-0.3,-9,L
2014-12-31 09:38:00 UTC,7.1,216,H
2014-12-31 16:07:00 UTC,0.2,6,L
2014-12-31 22:07:00 UTC,6.4,195,H
2015-01-01 04:22:00 UTC,-0.4,-12,L
2015-01-01 10:37:00 UTC,7.2,219,H
2015-01-01 17:05:00 UTC,0.1,3,L
2015-01-01 23:05:00 UTC,6.4,195,H
2015-01-02 05:15:00 UTC,-0.5,-15,L
2015-01-02 11:32:00 UTC,7.3,223,H
2015-01-02 17:58:00 UTC,0.0,0,L
2015-01-02 23:58:00 UTC,6.4,195,H
2015-01-03 06:05:00 UTC,-0.5,-15,L
2015-01-03 12:22:00 UTC,7.4,226,H
2015-01-03 18:46:00 UTC,-0.1,-3,L
2015-01-04 00:47:00 UTC,6.4,195,H
2015-01-04 06:53:00 UTC,-0.5,-15,L
2015-01-04 13:07:00 UTC,7.4,226,H
2015-01-04 19:31:00 UTC,-0.1,-3,L
2015-01-05 01:32:00 UTC,6.5,198,H
2015-01-05 07:37:00 UTC,-0.5,-15,L
2015-01-05 13:49:00 UTC,7.4,226,H
2015-01-05 20:13:00 UTC,-0.1,-3,L
2015-01-06 02:13:00 UTC,6.4,195,H
2015-01-06 08:19:00 UTC,-0.4,-12,L
2015-01-06 14:29:00 UTC,7.3,223,H
2015-01-06 20:51:00 UTC,-0.1,-3,L
2015-01-07 02:54:00 UTC,6.3,192,H
2015-01-07 08:59:00 UTC,-0.2,-6,L
2015-01-07 15:08:00 UTC,7.1,216,H
2015-01-07 21:27:00 UTC,0.0,0,L
2015-01-08 03:33:00 UTC,6.2,189,H
2015-01-08 09:37:00 UTC,0.0,0,L
2015-01-08 15:47:00 UTC,6.8,207,H
2015-01-08 22:01:00 UTC,0.2,6,L
2015-01-09 04:14:00 UTC,6.1,186,H
2015-01-09 10:14:00 UTC,0.2,6,L
2015-01-09 16:26:00 UTC,6.6,201,H
2015-01-09 22:36:00 UTC,0.3,9,L
2015-01-10 04:55:00 UTC,5.9,180,H
2015-01-10 10:53:00 UTC,0.4,12,L
2015-01-10 17:08:00 UTC,6.3,192,H
2015-01-10 23:11:00 UTC,0.4,12,L
2015-01-11 05:39:00 UTC,5.8,177,H
2015-01-11 11:35:00 UTC,0.7,21,L
2015-01-11 17:52:00 UTC,6.1,186,H
2015-01-11 23:51:00 UTC,0.5,15,L
2015-01-12 06:26:00 UTC,5.8,177,H
