time,feet,centimeters,tide
2014-12-31 00:34:00 UTC,2.9,88,H
2014-12-31 08:33:00 UTC,-0.1,-3,L
2014-12-31 14:26:00 UTC,2.1,64,H
2014-12-31 20:07:00 UTC,1.1,34,L
2015-01-01 01:36:00 UTC,2.9,88,H
2015-01-01 09:36:00 UTC,-0.3,-9,L
2015-01-01 15:31:00 UTC,2.3,70,H
2015-01-01 21:14:00 UTC,1.1,34,L
2015-01-02 02:29:00 UTC,3.0,91,H
2015-01-02 10:28:00 UTC,-0.5,-15,L
2015-01-02 16:24:00 UTC,2.4,73,H
2015-01-02 22:08:00 UTC,1.1,34,L
2015-01-03 03:17:00 UTC,3.1,94,H
2015-01-03 11:13:00 UTC,-0.6,-18,L
2015-01-03 17:07:00 UTC,2.5,76,H
2015-01-03 22:56:00 UTC,1.0,30,L
2015-01-04 04:01:00 UTC,3.1,94,H
2015-01-04 11:52:00 UTC,-0.6,-18,L
2015-01-04 17:43:00 UTC,2.5,76,H
2015-01-04 23:38:00 UTC,0.9,27,L
2015-01-05 04:41:00 UTC,3.1,94,H
2015-01-05 12:28:00 UTC,-0.6,-18,L
2015-01-05 18:16:00 UTC,2.6,79,H
2015-01-06 00:17:00 UTC,0.9,27,L
2015-01-06 05:20:00 UTC,3.1,94,H
2015-01-06 13:01:00 UTC,-0.5,-15,L
2015-01-06 18:47:00 UTC,2.6,79,H
2015-01-07 00:55:00 UTC,0.8,24,L
2015-01-07 05:57:00 UTC,3.0,91,H
2015-01-07 13:31:00 UTC,-0.4,-12,L
2015-01-07 19:16:00 UTC,2.6,79,H
2015-01-08 01:31:00 UTC,0.7,21,L
2015-01-08 06:35:00 UTC,3.0,91,H
2015-01-08 14:01:00 UTC,-0.3,-9,L
2015-01-08 19:45:00 UTC,2.7,82,H
2015-01-09 02:09:00 UTC,0.7,21,L
2015-01-09 07:13:00 UTC,2.8,85,H
2015-01-09 14:31:00 UTC,-0.2,-6,L
2015-01-09 20:15:00 UTC,2.7,82,H
2015-01-10 02:48:00 UTC,0.6,18,L
2015-01-10 07:54:00 UTC,2.7,82,H
2015-01-10 15:03:00 UTC,0.0,0,L
2015-01-10 20:46:00 UTC,2.7,82,H
2015-01-11 03:31:00 UTC,0.6,18,L
2015-01-11 08:40:00 UTC,2.5,76,H
2015-01-11 15:37:00 UTC,0.2,6,L
2015-01-11 21:21:00 UTC,2.7,82,H
2015-01-12 04:21:00 UTC,0.5,15,L
2015-01-12 09:36:00 UTC,2.2,67,H
2015-01-12 16:17:00 UTC,0.5,15,L
2015-01-12 22:02:00 UTC,2.7,82,H
2015-01-13 05:20:00 UTC,0.5,15,L
2015-01-13 10:49:00 UTC,2.0,61,H
2015-01-13 17:06:00 UTC,0.7,21,L
2015-01-13 22:51:00 UTC,2.7,82,H
2015-01-14 06:31:00 UTC,0.4,12,L
2015-01-14 12:17:00 UTC,1.9,58,H
2015-01-14 18:09:00 UTC,1.0,30,L
2015-01-14 23:49:00 UTC,2.7,82,H
2015-01-15 07:47:00 UTC,0.2,6,L
2015-01-15 13:47:00 UTC,2.0,61,H
2015-01-15 19:24:00 UTC,1.1,34,L
2015-01-16 00:50:00 UTC,2.8,85,H
2015-01-16 08:57:00 UTC,-0.1,-3,L
2015-01-16 15:03:00 UTC,2.1,64,H
2015-01-16 20:38:00 UTC,1.2,37,L
2015-01-17 01:51:00 UTC,2.9,88,H
2015-01-17 09:55:00 UTC,-0.4,-12,L
2015-01-17 16:02:00 UTC,2.3,70,H
2015-01-17 21:42:00 UTC,1.1,34,L
2015-01-18 02:47:00 UTC,3.1,94,H
2015-01-18 10:46:00 UTC,-0.7,-21,L
