time,feet,centimeters,tide
2014-01-01 04:52:00 UTC,-2.8,-85,L
2014-01-01 11:14:00 UTC,14.1,430,H
2014-01-01 16:55:00 UTC,2.4,73,L
2014-01-01 22:55:00 UTC,17.1,521,H
2014-01-02 05:37:00 UTC,-3.4,-104,L
2014-01-02 11:58:00 UTC,14.7,448,H
2014-01-02 17:43:00 UTC,1.8,55,L
2014-01-02 23:42:00 UTC,17.3,527,H
2014-01-03 06:22:00 UTC,-3.5,-107,L
2014-01-03 12:42:00 UTC,15.1,460,H
2014-01-03 18:32:00 UTC,1.5,46,L
2014-01-04 00:30:00 UTC,16.9,515,H
2014-01-04 07:06:00 UTC,-3.1,-94,L
2014-01-04 13:26:00 UTC,15.2,463,H
2014-01-04 19:21:00 UTC,1.4,43,L
2014-01-05 01:18:00 UTC,16.1,491,H
2014-01-05 07:50:00 UTC,-2.1,-64,L
2014-01-05 14:11:00 UTC,15.0,457,H
2014-01-05 20:13:00 UTC,1.6,49,L
2014-01-06 02:09:00 UTC,14.8,451,H
2014-01-06 08:35:00 UTC,-0.8,-24,L
2014-01-06 14:58:00 UTC,14.6,445,H
2014-01-06 21:08:00 UTC,2.0,61,L
2014-01-07 03:04:00 UTC,13.3,405,H
2014-01-07 09:22:00 UTC,0.7,21,L
2014-01-07 15:48:00 UTC,14.2,433,H
2014-01-07 22:09:00 UTC,2.4,73,L
2014-01-08 04:06:00 UTC,11.9,363,H
2014-01-08 10:14:00 UTC,2.2,67,L
2014-01-08 16:43:00 UTC,13.6,415,H
2014-01-08 23:20:00 UTC,2.7,82,L
2014-01-09 05:19:00 UTC,10.7,326,H
2014-01-09 11:17:00 UTC,3.6,110,L
2014-01-09 17:45:00 UTC,13.2,402,H
2014-01-10 00:37:00 UTC,2.5,76,L
2014-01-10 06:44:00 UTC,10.1,308,H
2014-01-10 12:29:00 UTC,4.4,134,L
2014-01-10 18:51:00 UTC,13.1,399,H
2014-01-11 01:48:00 UTC,2.0,61,L
2014-01-11 08:07:00 UTC,10.2,311,H
2014-01-11 13:40:00 UTC,4.8,146,L
2014-01-11 19:54:00 UTC,13.2,402,H
2014-01-12 02:48:00 UTC,1.3,40,L
2014-01-12 09:14:00 UTC,10.7,326,H
2014-01-12 14:42:00 UTC,4.7,143,L
2014-01-12 20:51:00 UTC,13.6,415,H
2014-01-13 03:39:00 UTC,0.5,15,L
2014-01-13 10:05:00 UTC,11.4,347,H
2014-01-13 15:35:00 UTC,4.3,131,L
2014-01-13 21:39:00 UTC,14.0,427,H
2014-01-14 04:22:00 UTC,-0.1,-3,L
2014-01-14 10:47:00 UTC,12.1,369,H
2014-01-14 16:21:00 UTC,3.9,119,L
2014-01-14 22:21:00 UTC,14.4,439,H
2014-01-15 05:00:00 UTC,-0.6,-18,L
2014-01-15 11:22:00 UTC,12.6,384,H
2014-01-15 17:01:00 UTC,3.5,107,L
2014-01-15 22:58:00 UTC,14.6,445,H
2014-01-16 05:35:00 UTC,-0.9,-27,L
2014-01-16 11:55:00 UTC,13.0,396,H
2014-01-16 17:38:00 UTC,3.2,98,L
2014-01-16 23:32:00 UTC,14.7,448,H
2014-01-17 06:08:00 UTC,-0.9,-27,L
2014-01-17 12:25:00 UTC,13.2,402,H
2014-01-17 18:12:00 UTC,3.0,91,L
2014-01-18 00:04:00 UTC,14.6,445,H
2014-01-18 06:38:00 UTC,-0.7,-21,L
2014-01-18 12:54:00 UTC,13.3,405,H
2014-01-18 18:44:00 UTC,2.9,88,L
2014-01-19 00:35:00 UTC,14.3,436,H
2014-01-19 07:07:00 UTC,-0.3,-9,L
2014-01-19 13:22:00 UTC,13.3,405,H
2014-01-19 19:16:00 UTC,2.9,88,L
2014-01-20 01:07:00 UTC,13.8,421,H
2014-01-20 07:35:00 UTC,0.2,6,L
2014-01-20 13:51:00 UTC,13.3,405,H
2014-01-20 19:49:00 UTC,2.9,88,L
2014-01-21 01:41:00 UTC,13.2,402,H
2014-01-21 08:02:00 UTC,0.9,27,L
2014-01-21 14:21:00 UTC,13.2,402,H
