time,feet,centimeters,tide
2014-12-31 08:27:00 UTC,10.3,314,H
2014-12-31 18:42:00 UTC,-0.3,-9,L
2014-12-31 22:05:00 UTC,9.2,280,H
2015-01-01 06:54:00 UTC,0.9,27,L
2015-01-01 09:18:00 UTC,9.9,302,H
2015-01-01 19:36:00 UTC,-0.3,-9,L
2015-01-01 23:07:00 UTC,9.5,290,H
2015-01-02 07:56:00 UTC,1.0,30,L
2015-01-02 10:04:00 UTC,9.4,287,H
2015-01-02 20:26:00 UTC,-0.3,-9,L
2015-01-03 00:07:00 UTC,9.7,296,H
2015-01-03 08:57:00 UTC,1.1,34,L
2015-01-03 10:50:00 UTC,8.8,268,H
2015-01-03 21:14:00 UTC,-0.3,-9,L
2015-01-04 01:05:00 UTC,9.8,299,H
2015-01-04 09:56:00 UTC,1.2,37,L
2015-01-04 11:37:00 UTC,8.2,250,H
2015-01-04 22:01:00 UTC,-0.2,-6,L
2015-01-05 01:58:00 UTC,9.9,302,H
2015-01-05 10:54:00 UTC,1.2,37,L
2015-01-05 12:26:00 UTC,7.7,235,H
2015-01-05 22:47:00 UTC,-0.1,-3,L
2015-01-06 02:46:00 UTC,10.0,305,H
2015-01-06 11:50:00 UTC,1.2,37,L
2015-01-06 13:18:00 UTC,7.3,223,H
2015-01-06 23:32:00 UTC,0.0,0,L
2015-01-07 03:29:00 UTC,9.9,302,H
2015-01-07 12:43:00 UTC,1.2,37,L
2015-01-07 14:12:00 UTC,6.9,210,H
2015-01-08 00:15:00 UTC,0.1,3,L
2015-01-08 04:09:00 UTC,9.9,302,H
2015-01-08 13:34:00 UTC,1.1,34,L
2015-01-08 15:09:00 UTC,6.7,204,H
2015-01-09 00:58:00 UTC,0.2,6,L
2015-01-09 04:44:00 UTC,9.8,299,H
2015-01-09 14:22:00 UTC,1.0,30,L
2015-01-09 16:07:00 UTC,6.6,201,H
2015-01-10 01:41:00 UTC,0.3,9,L
2015-01-10 05:18:00 UTC,9.7,296,H
2015-01-10 15:07:00 UTC,0.9,27,L
2015-01-10 17:07:00 UTC,6.5,198,H
2015-01-11 02:25:00 UTC,0.5,15,L
2015-01-11 05:50:00 UTC,9.5,290,H
2015-01-11 15:49:00 UTC,0.8,24,L
2015-01-11 18:07:00 UTC,6.6,201,H
2015-01-12 03:10:00 UTC,0.7,21,L
2015-01-12 06:21:00 UTC,9.3,283,H
2015-01-12 16:29:00 UTC,0.6,18,L
2015-01-12 19:07:00 UTC,6.8,207,H
2015-01-13 03:55:00 UTC,0.8,24,L
2015-01-13 06:51:00 UTC,9.1,277,H
2015-01-13 17:07:00 UTC,0.5,15,L
2015-01-13 20:05:00 UTC,7.1,216,H
2015-01-14 04:42:00 UTC,1.0,30,L
2015-01-14 07:19:00 UTC,8.9,271,H
2015-01-14 17:44:00 UTC,0.4,12,L
2015-01-14 21:02:00 UTC,7.4,226,H
2015-01-15 05:31:00 UTC,1.2,37,L
2015-01-15 07:45:00 UTC,8.7,265,H
2015-01-15 18:20:00 UTC,0.2,6,L
2015-01-15 21:56:00 UTC,7.8,238,H
2015-01-16 06:21:00 UTC,1.3,40,L
2015-01-16 08:12:00 UTC,8.6,262,H
2015-01-16 18:56:00 UTC,0.1,3,L
2015-01-16 22:46:00 UTC,8.2,250,H
2015-01-17 07:13:00 UTC,1.4,43,L
2015-01-17 08:42:00 UTC,8.6,262,H
2015-01-17 19:34:00 UTC,0.0,0,L
2015-01-17 23:34:00 UTC,8.6,262,H
2015-01-18 08:04:00 UTC,1.4,43,L
2015-01-18 09:20:00 UTC,8.6,262,H
2015-01-18 20:16:00 UTC,-0.2,-6,L
2015-01-19 00:21:00 UTC,8.9,271,H
2015-01-19 08:57:00 UTC,1.4,43,L
2015-01-19 10:07:00 UTC,8.7,265,H
2015-01-19 21:01:00 UTC,-0.3,-9,L
2015-01-20 01:08:00 UTC,9.3,283,H
2015-01-20 09:52:00 UTC,1.4,43,L
2015-01-20 11:02:00 UTC,8.6,262,H
2015-01-20 21:51:00 UTC,-0.3,-9,L
2015-01-21 01:53:00 UTC,9.7,296,H
2015-01-21 10:48:00 UTC,1.3,40,L
2015-01-21 12:07:00 UTC,8.5,259,H
2015-01-21 22:44:00 UTC,-0.3,-9,L
2015-01-22 02:38:00 UTC,10.0,305,H
2015-01-22 11:46:00 UTC,1.1,34,L
2015-01-22 13:22:00 UTC,8.4,256,H
2015-01-22 23:39:00 UTC,-0.3,-9,L
2015-01-23 03:23:00 UTC,10.4,317,H
2015-01-23 12:44:00 UTC,0.9,27,L
2015-01-23 14:41:00 UTC,8.3,253,H
2015-01-24 00:36:00 UTC,-0.1,-3,L
2015-01-24 04:09:00 UTC,10.6,323,H
2015-01-24 13:42:00 UTC,0.6,18,L
2015-01-24 15:59:00 UTC,8.4,256,H
2015-01-25 01:35:00 UTC,0.0,0,L
2015-01-25 04:56:00 UTC,10.8,329,H
2015-01-25 14:40:00 UTC,0.3,9,L
2015-01-25 17:15:00 UTC,8.5,259,H
2015-01-26 02:36:00 UTC,0.2,6,L
