date,day,time,feet,centimeters,tide
2013/12/31,Tue,01:19 AM,14.6,445,H
2013/12/31,Tue,07:01 AM,2.4,73,L
2013/12/31,Tue,12:55 PM,17.1,521,H
2013/12/31,Tue,07:41 PM,-3.2,-98,L
2014/01/01,Wed,02:05 AM,15.8,482,H
2014/01/01,Wed,07:51 AM,1.3,40,L
2014/01/01,Wed,01:46 PM,17.8,543,H
2014/01/01,Wed,08:26 PM,-4.1,-125,L
2014/01/02,Thu,02:50 AM,16.6,506,H
2014/01/02,Thu,08:39 AM,0.5,15,L
2014/01/02,Thu,02:34 PM,18.1,552,H
2014/01/02,Thu,09:10 PM,-4.3,-131,L
2014/01/03,Fri,03:34 AM,17.0,518,H
2014/01/03,Fri,09:26 AM,0.2,6,L
2014/01/03,Fri,03:23 PM,17.8,543,H
2014/01/03,Fri,09:54 PM,-3.8,-116,L
2014/01/04,Sat,04:18 AM,17.0,518,H
2014/01/04,Sat,10:15 AM,0.2,6,L
2014/01/04,Sat,04:11 PM,17.0,518,H
2014/01/04,Sat,10:39 PM,-2.8,-85,L
2014/01/05,Sun,05:03 AM,16.6,506,H
2014/01/05,Sun,11:05 AM,0.6,18,L
2014/01/05,Sun,05:02 PM,15.7,479,H
2014/01/05,Sun,11:25 PM,-1.3,-40,L
2014/01/06,Mon,05:49 AM,15.9,485,H
2014/01/06,Mon,12:00 PM,1.3,40,L
2014/01/06,Mon,05:57 PM,14.1,430,H
2014/01/07,Tue,12:14 AM,0.5,15,L
2014/01/07,Tue,06:39 AM,15.1,460,H
2014/01/07,Tue,01:00 PM,2.0,61,L
2014/01/07,Tue,07:00 PM,12.5,381,H
2014/01/08,Wed,01:08 AM,2.3,70,L
2014/01/08,Wed,07:34 AM,14.2,433,H
2014/01/08,Wed,02:10 PM,2.6,79,L
2014/01/08,Wed,08:15 PM,11.3,344,H
2014/01/09,Thu,02:10 AM,3.8,116,L
2014/01/09,Thu,08:36 AM,13.5,411,H
2014/01/09,Thu,03:29 PM,2.7,82,L
2014/01/09,Thu,09:42 PM,10.8,329,H
2014/01/10,Fri,03:22 AM,4.8,146,L
2014/01/10,Fri,09:43 AM,13.2,402,H
2014/01/10,Fri,04:46 PM,2.3,70,L
2014/01/10,Fri,11:05 PM,11.0,335,H
2014/01/11,Sat,04:37 AM,5.2,158,L
2014/01/11,Sat,10:46 AM,13.3,405,H
2014/01/11,Sat,05:47 PM,1.6,49,L
2014/01/12,Sun,12:09 AM,11.7,357,H
2014/01/12,Sun,05:41 AM,5.0,152,L
2014/01/12,Sun,11:40 AM,13.6,415,H
2014/01/12,Sun,06:34 PM,0.8,24,L
