time,feet,centimeters,tide
2014-01-01 06:16:00 UTC,4.9,149,H
2014-01-01 16:13:00 UTC,-0.5,-15,L
2014-01-02 07:07:00 UTC,5.0,152,H
2014-01-02 16:44:00 UTC,-0.7,-21,L
2014-01-03 08:00:00 UTC,5.0,152,H
2014-01-03 17:14:00 UTC,-0.8,-24,L
2014-01-04 08:51:00 UTC,4.8,146,H
2014-01-04 17:41:00 UTC,-0.7,-21,L
2014-01-05 09:40:00 UTC,4.5,137,H
2014-01-05 18:06:00 UTC,-0.6,-18,L
2014-01-06 10:26:00 UTC,3.9,119,H
2014-01-06 18:28:00 UTC,-0.4,-12,L
2014-01-07 01:48:00 UTC,2.2,67,H
2014-01-07 05:12:00 UTC,1.9,58,L
2014-01-07 11:10:00 UTC,3.3,101,H
2014-01-07 18:49:00 UTC,-0.2,-6,L
2014-01-08 02:15:00 UTC,2.7,82,H
2014-01-08 07:07:00 UTC,1.9,58,L
2014-01-08 11:53:00 UTC,2.6,79,H
2014-01-08 19:07:00 UTC,0.1,3,L
2014-01-09 02:50:00 UTC,3.2,98,H
2014-01-09 09:26:00 UTC,1.7,52,L
2014-01-09 12:34:00 UTC,1.9,58,H
2014-01-09 19:23:00 UTC,0.2,6,L
2014-01-10 03:27:00 UTC,3.6,110,H
2014-01-10 19:31:00 UTC,0.4,12,L
2014-01-11 04:06:00 UTC,3.9,119,H
2014-01-11 19:18:00 UTC,0.5,15,L
2014-01-12 04:45:00 UTC,4.1,125,H
2014-01-12 14:41:00 UTC,0.3,9,L
2014-01-13 05:23:00 UTC,4.2,128,H
2014-01-13 15:19:00 UTC,0.0,0,L
2014-01-14 06:03:00 UTC,4.2,128,H
2014-01-14 15:56:00 UTC,-0.2,-6,L
2014-01-15 06:42:00 UTC,4.2,128,H
2014-01-15 16:30:00 UTC,-0.3,-9,L
2014-01-16 07:21:00 UTC,4.1,125,H
2014-01-16 17:01:00 UTC,-0.3,-9,L
2014-01-17 07:58:00 UTC,4.1,125,H
2014-01-17 17:28:00 UTC,-0.3,-9,L
2014-01-18 08:33:00 UTC,3.9,119,H
2014-01-18 17:50:00 UTC,-0.2,-6,L
2014-01-19 09:05:00 UTC,3.8,116,H
2014-01-19 18:06:00 UTC,-0.1,-3,L
2014-01-20 09:36:00 UTC,3.5,107,H
2014-01-20 18:14:00 UTC,0.1,3,L
2014-01-21 10:06:00 UTC,3.2,98,H
2014-01-21 18:16:00 UTC,0.2,6,L
2014-01-22 02:22:00 UTC,2.1,64,H
